,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14
NKT,0.05326882160679752,0.02930752365458605,0.0,0.0,0.03645436018281095,0.14944118111575438,0.10008480808382329,0.019879025954620044,0.13940454029603191,0.14120021423605322,0.002763154168110322,0.006827729324038881,0.04732062707620528,0.18704244801995074,0.08700556628121751
T_CD4+,0.1294137042875768,0.08002007318446588,0.0,0.019892628056581596,0.02220925727640022,0.13368199748085077,0.035022078302826595,0.0,0.3204684061597664,0.015635884977091022,0.0,0.0,0.07446325906749238,0.03720052087990976,0.1319921903270385
T_CD4+_TfH,0.0,0.041660057105450024,0.1178831875822436,0.016113874064613613,0.0,0.0,0.1551678251186046,0.05419167513037595,0.0,0.34291579303920927,0.009033387592887113,0.01809375105944779,0.023428013179038566,0.22151243612812938,0.0
T_CD4+_TfH_GC,0.0,0.0,0.10118759446761422,0.663464454349437,0.0017288302501913366,0.0,0.0,0.046842671622980836,0.01897171205724397,0.13337729715909563,0.03442744009343685,0.0,0.0,0.0,0.0
T_CD4+_naive,0.08695833672879569,0.744275676149824,0.0,0.0,0.0,0.0,0.0076273240989576515,0.0,0.14996452719657294,0.0041215349293050214,0.0,0.0,0.0,0.007052600896544544,0.0
T_CD8+_CD161+,0.00875349038312291,0.06238602088510498,0.056539140659835334,0.009106262906629482,0.002137241195240387,0.06928608306527283,0.11310621606422121,0.03880021998046953,0.027206169485605163,0.2531744443581673,0.05496797083983915,0.014319237732989341,0.04326177265614968,0.2365133806727496,0.010442349114603044
T_CD8+_cytotoxic,0.039954220921968465,0.032819995452835,0.07166501233419567,0.010435840731745328,0.0,0.0,0.09741363042488597,0.03528567045863759,0.004665562111315209,0.44077351043411367,0.0076352282229028385,0.041524105526134426,0.01147669683417182,0.19466376207797934,0.011686764469114578
T_CD8+_naive,0.0,0.4223746612923133,0.019458705725246307,0.0,0.025877115900115176,0.014394441225125457,0.0945260506918477,0.008350866611791323,0.0,0.16764101098141493,0.047122220641914736,0.0,0.0010069955315508174,0.19924793139868024,0.0
T_TIM3+,0.0,0.04187405656706587,0.060659530824012604,0.058479714880873765,0.08695172919513394,0.0,0.07255739829394994,0.01837267998051218,0.0,0.06473782394637909,0.4845269709459081,0.02861124831779034,0.01667645255289435,0.06655239449547984,0.0
T_TfR,0.0,0.11920299197115927,0.0,0.07853867309894635,0.062365763182464715,0.0,0.0,0.0,0.05935546306408979,0.5514189272793284,0.021991751514728455,0.03775421795987258,0.0,0.0,0.06937221192941051
T_Treg,0.0,0.16032485647922876,0.05855836057182316,0.0,0.0,0.0,0.029869190666179497,0.014204807675890215,0.0,0.6557548541663998,0.0,0.02284759257869086,0.00497984603484792,0.053460491826939946,0.0
VSMC,0.0,0.0434304787456289,0.015346411458352268,0.02384101790622288,0.04440055448081435,0.4705836315889904,0.1534727620828955,0.0,0.04746753756502034,0.11515158320239387,0.006664750746078575,0.012397988785267395,0.033370154006277714,0.03387312943205779,0.0
