,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10
Macrophages_M2,0.12552823369691551,0.41168110730962054,0.010162200326120105,0.0,0.4460441737883622,0.004103046651757919,0.0,0.0,0.0,0.0,0.002481238227223703
Mast,0.021461626746428205,0.33264587923511557,0.06977552960942877,0.03647041004040621,0.16985339461125368,0.02995742065652367,0.08801413092529818,0.1076823726401153,0.03567384879346553,0.09259874622803783,0.01586664051392691
Monocytes,0.0050337633874303015,0.5361101673962266,0.0,0.04385373144997626,0.23422123055718128,0.0,0.0,0.04649058546598103,0.0,0.08410231581820786,0.05018820592499665
NK,0.0,0.18293471097492867,0.03215846054684882,0.38266548160269903,0.23585629470011524,0.07827121218503835,0.018751802751355184,0.0,0.03149855790678444,0.0,0.03786347933223028
NKT,0.05056181086069004,0.2611042264324031,0.05573120065068704,0.13551137109992584,0.1905547802289071,0.0,0.022537985688694945,0.10161826478475015,0.012417326415988469,0.16767257802945568,0.0022904558084976922
T_CD4+,0.09407638871856543,0.17536204286395266,0.0826651323005321,0.01040210938146814,0.04315502540063047,0.0,0.006173287600860438,0.1995620481304798,0.018463390942126266,0.37014057466138467,0.0
T_CD4+_TfH,0.07622188482284116,0.07883941991082472,0.025902116886551384,0.3423104973136415,0.28639448034673193,0.13547048199484432,0.0,0.0,0.05138637732774712,0.0,0.003474741396817913
T_CD4+_TfH_GC,0.00910425375216665,0.0,0.0524274886306026,0.11592365549376919,0.0,0.12851128408243503,0.022173796557465472,0.0,0.5959785235830388,0.07153726891182757,0.004343728988694691
T_CD4+_naive,0.7370737284857912,0.0,0.0,0.0,0.009416859169674859,0.0,0.0016184688582233722,0.0906105623904506,0.0,0.1612803810958599,0.0
T_CD8+_CD161+,0.09294568443795041,0.19102186276227812,0.055425274077455455,0.2706163406113211,0.24059989331328996,0.06733775650228448,0.011976275082357666,0.008798573629697388,0.027456623522949603,0.02609977486975995,0.007721941190655777
T_CD8+_cytotoxic,0.07957856542503987,0.0832167024709324,0.016962041282142237,0.43854147451916126,0.21347474858209653,0.08328357562158566,0.0,0.027555325432260108,0.029930673699042093,0.0,0.027456892967739996
T_CD8+_naive,0.4752047206838456,0.11103079651115952,0.002273068021481642,0.1575172168503552,0.186587858275108,0.02437866421265271,0.04300767544539742,0.0,0.0,0.0,0.0
T_TIM3+,0.0,0.07161079483749792,0.04395813445467314,0.3478580068483982,0.11052602612954673,0.06213036859846637,0.2658480324249235,0.0,0.026381539287071827,0.014739476667969651,0.05694762075145266
T_TfR,0.19743233263257146,0.0,0.0,0.5375863008575694,0.0,0.0,0.05658832606297261,0.05122128093383459,0.05757382334983179,0.07219783231808705,0.02740010384513302
T_Treg,0.25497797929161464,0.0,0.0,0.6110401560809908,0.061251635072673914,0.06262871590185791,0.0,0.0,0.010101513652862727,0.0,0.0
VSMC,0.06916288760122602,0.41430483329907825,0.027674610422347885,0.1119956998276216,0.16610740672648347,0.0,0.019394618427971837,0.0320904546512975,0.02909355414738463,0.1099887073088607,0.020187227587728274
