,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13
Mast,0.021107910183671114,0.17016806825697728,0.0036096532890291712,0.018352909422107724,0.02974575347918149,0.15258845838133403,0.06354601497233468,0.0,0.11138385577830377,0.06313198289975741,0.08317175027109654,0.1971993461257766,0.0658292057736269,0.02016509116680339
Monocytes,0.007160879847791477,0.1277012294448214,0.03504369654653318,0.0,0.004439254352801201,0.29219133641957135,0.0,0.0,0.09644229235866239,0.052480911525984324,0.05589134422457872,0.3286490552792559,0.0,0.0
NK,0.0,0.0,0.03515614610384019,0.04799283352675878,0.06744117869808172,0.2733361018278515,0.01480478769429077,0.2797672885850593,0.08735963026683294,0.0,0.14937402075288747,0.04476801254439733,0.0,0.0
NKT,0.030749100976825306,0.08125784924750268,0.005255827771582591,0.008420184252307039,0.0,0.18855930772482693,0.04792557168904756,0.13800549325692682,0.09888215675242588,0.13820527221469384,0.013003197320474592,0.15990714636711043,0.03282588011424453,0.05700301231203167
T_CD4+,0.08041423292484559,0.1286221140041667,0.0,0.004304785067995729,0.0,0.04077369017798279,0.07784310586361481,0.016542382493639804,0.034079390106158076,0.3168790426334139,0.0,0.15267119256546527,0.019183509087168208,0.12868655507554919
T_CD4+_TfH,0.040888815806425304,0.0,0.015103263409865553,0.051263551238360544,0.11476122264645978,0.2340426339383885,0.020264942200244853,0.3452842073559271,0.15643099046883535,0.0,0.021960372935493005,0.0,0.0,0.0
T_CD4+_TfH_GC,0.0,0.0,0.005862143041312325,0.5544964749260065,0.12604104444363462,0.0,0.05723432239045939,0.14994550027814638,0.0,0.0705981349952357,0.0,0.0,0.035822379925204935,0.0
T_CD4+_naive,0.7494492791570541,0.0,0.0,0.0,0.0,0.003483413145638527,0.0,0.004566561630629856,0.009274222326952221,0.14834421021715216,0.0,0.0010777385208605933,0.0,0.08380457500171248
T_CD8+_CD161+,0.0635474605287631,0.00700949057507651,0.012373700500120795,0.03269602011744953,0.05464686170445537,0.24317170078787584,0.04259186167481347,0.25336849940468376,0.11422209343822431,0.02717701111625007,0.06681723296717121,0.06990147880588415,0.0028102253742277677,0.009666363005003899
T_CD8+_cytotoxic,0.0320291615464429,0.009185216790797975,0.03789972723088184,0.029658246354638863,0.069294394718746,0.20347792508614532,0.010005012957268399,0.4413032574373143,0.09678881088093912,0.004607779611099343,0.02466827624887443,0.0,0.0,0.04108219113685157
T_CD8+_naive,0.4294310125467917,0.0,0.0,0.0008372102829779551,0.020186591243034242,0.19591747162004125,0.0013895853109660917,0.16968616021172483,0.09584059120721582,0.0,0.0498165020038776,0.008252801660525933,0.028642073912844547,0.0
T_TIM3+,0.042478249825260515,0.0,0.02833316365193537,0.047651098816839065,0.06222428682823422,0.06368737734977689,0.023283871671936563,0.0593545115251592,0.07671151434744107,0.0,0.4803450866803161,0.001368679196581767,0.11456216010651901,0.0
T_TfR,0.11495433501910074,0.08039068098604972,0.035212107583103475,0.04282023478957859,0.00022416769925761736,0.0,0.0,0.5697988713360682,0.0,0.06465751732234776,0.023009651131976793,0.0,0.06893243413251714,0.0
T_Treg,0.15530524090781833,0.0,0.018766765887844376,0.008610205537874012,0.056450231354329944,0.06459949579041227,0.0014322587730616885,0.6603064955448856,0.03223668533517562,0.0,0.0,0.0,0.0022926208685981725,0.0
VSMC,0.044375915889829046,0.0,0.012689290222359817,0.01457889447404934,0.01765995289665391,0.030633372310347025,0.03703279755121422,0.11688164438226796,0.1610566835412101,0.046450442436264505,0.0,0.47182219578696805,0.04681881050883606,0.0
