,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23,mean_cell_type_factorsfact_24,mean_cell_type_factorsfact_25,mean_cell_type_factorsfact_26
DC_cDC2,0.07183303189329471,0.004384286894724358,0.010289706249583579,0.011241047921473948,0.03545631672681635,0.0,0.0005366760270685252,0.6659691168593758,0.028680961572318198,0.0,0.0,0.0,0.022878415368304646,0.005603250144436409,0.0,0.024153556145573265,0.0011610385350621143,0.015774770629579528,0.012902595473733725,0.005769286949924445,0.03293023025677756,0.01285373502835642,0.0010091313151970255,0.006271980643216618,0.01816917889073578,0.0,0.01213168647444693
DC_pDC,0.06873161618802666,0.018030329096945456,0.0333118283028808,0.01404744793545586,0.0,0.016774162451595163,0.0036841132466186727,0.02594105817552251,0.6760169665970066,0.0,0.0,0.0010739579416954076,0.024889447014516706,0.0253874473799843,0.0,0.0,0.0023301049670095947,0.041435709241230544,0.0,0.005457103043152711,0.004879494316193069,0.005130507942546475,0.0,0.003711216018867275,0.027435472907831177,0.0017320172329208447,0.0
Endo,0.07149086609572555,0.0123201418655196,0.006259627530407605,0.018744199671939972,0.05684996733763723,0.01166828016809138,0.007768751142909343,0.041633990126654766,0.013389140877966136,0.0,0.0,0.0,0.02152739798349768,0.021804126660942894,0.00460778215263771,0.025532503079177326,0.007671877691951883,0.059739563255335866,0.012452894857047626,0.01376376709163829,0.48086444499958847,0.0,0.050898291259609735,0.0041405287869761475,0.0,0.0006983157463197647,0.05617354161842516
FDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060216827023096664,0.6291319938159077,0.07651242498597362,0.0,0.0,0.034033670677449175,0.0458981400115455,0.01846790442531063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1357390390607167,0.0
ILC,0.07587549344253633,0.031241595471154373,0.04222994704751537,0.018397223497385488,0.015637696418778945,0.568450436689193,0.0,0.046774238848983254,0.02269073894697337,0.00020078166092397316,0.0,0.0,0.04133379394744998,0.015365177641434066,0.006582374336100126,0.005478517216365666,0.0,0.025173654343038282,0.012616424856734676,0.0,0.016281586062845875,0.00656219589509018,0.012717447678538184,0.0,0.006999808385038474,0.012341156017993784,0.017049711595926723
Macrophages_M1,0.0,0.020762828890946435,0.019705339522826663,0.010186513739536565,0.006367756122150768,0.006649434905546206,0.014596809900841778,0.041777774697367126,0.033227768003550665,0.023266951556223135,0.03183702804858015,0.06155458918265735,0.008177384396281578,0.009550550355657808,0.002393707542033058,0.04260181209411708,0.009305983160422237,0.018164303883092876,0.0,0.03300133053446169,0.020401157252243615,0.007281157939839417,0.5256704570217219,0.022779522759532857,0.0025358591813674503,0.028203979309001342,0.0
Macrophages_M2,0.12645612293096953,0.0,0.03641732967374794,0.0012543757423270276,0.013615101569191173,0.0005875761565731053,0.02940370481727664,0.0,0.029602570086185984,0.0,0.0,0.00364940020965931,0.019806632670355966,0.04425845363370811,0.00011797752098011641,0.0,0.005498559763025423,0.6640521951543017,0.0,0.0,0.0,0.0,0.0,0.0,0.02528000007169794,0.0,0.0
Mast,0.07398976771097505,0.02192510382339876,0.0,0.025060584045636065,0.11784206838281117,0.046676129197999607,0.014259723778040438,0.20427299980010824,0.002914625446464961,0.004708551502305562,0.0,0.05045425737255057,0.0,0.07238986229985489,0.006652633783687386,0.04947794725501949,0.0018556815492809387,0.05369403912296582,0.008372765573049097,0.0,0.047943479368658844,0.04456027375216737,0.08648948106306238,0.0,0.0,0.012501335496083475,0.053958689675880044
Monocytes,0.07790241050088197,0.0057835639362821675,0.0,0.00402776406527367,0.6492038516849783,0.0,0.005959920077241791,0.051437134392353444,0.023124037402521194,0.0,0.0,0.0,0.018996669618035995,0.03247531238642776,0.0,0.02100923486042061,0.006077455578765416,0.04036037230424593,0.0,0.0,0.01719573648456732,0.0013779880557718283,0.00658521503749468,0.0,0.0014523986298436643,0.0,0.037030934984894015
NK,0.09233321585205512,0.03794795183290466,0.07220520799600547,0.030763455570415824,0.006812060807094125,0.03460267658047938,0.004680966099760252,0.01609453056391581,0.04363466184089378,0.007458632663900939,0.0,0.003950257253647215,0.4315795521110518,0.029222393152177714,0.005231545145194591,0.0,0.01472131740938787,0.03773086827168547,0.024404005813728105,0.0,0.01176225542636814,0.0015569940809721469,0.0,0.0,0.07159328065397293,0.01783115818737419,0.00388301268701454
NKT,0.18351754772637333,0.0,0.021774901572403915,0.0,0.04430181263593846,0.02142065847709927,0.024598990835194432,0.028074902290532534,0.0,0.0,0.0,0.02435195068435154,0.04101540377406785,0.0007427238950047436,0.013448816879813995,0.10184435835380116,0.0011345902747937706,0.0,0.052750108026866666,0.048893146667121155,0.03459307803666594,0.02702972166911081,0.07664258139552706,0.03114324096135983,0.13435763041459153,0.0037309058213928843,0.08463292960798904
T_CD4+,0.05667630185981115,0.0,0.0017854900442179382,0.0,0.058389599503963815,0.0,0.06337062631380061,0.04863078962005043,0.0,0.0,0.014635878368216572,0.05049244581421667,0.0,0.0,0.027672081948895956,0.2685067389438807,0.0,0.0,0.0,0.11732738100487991,0.04251154703461855,0.007894444784446515,0.10365565064692106,0.0668087968829084,0.00024854176085259395,0.0003859024719795114,0.07100778299633954
T_CD4+_TfH,0.14961533464949334,0.0667993407940133,0.19422255168481933,0.0,0.0,0.14851841976282892,0.016722903356148573,0.0,0.021360127979881814,0.043939301942544584,0.0,0.0062445123913686855,0.07191367408923735,0.058955170159646214,0.013807100098387747,0.0,0.009913150961180896,0.03022685519519857,0.0,0.0,0.0,0.0,0.0,0.014132184458399295,0.1306684222575745,0.02296095021927687,0.0
T_CD4+_TfH_GC,0.0,0.06847746281623335,0.03665830377471298,0.0,0.0,0.0,0.003155590058387808,0.0,0.0,0.5317272206881015,0.058254205142590824,0.05120176314542847,0.0,0.0,0.02445814701853595,0.021665474201977276,0.001103232703321355,0.0,0.0,0.0,0.0,0.0,0.01692145631734784,0.03434577697265993,0.0011572976258801173,0.1508669644983939,7.105036428477906e-06
T_CD4+_naive,0.0,0.0,0.07017803339059395,0.0,0.0,0.0,0.6803043922734592,0.0,0.0,0.0,0.0,0.0,0.0,0.0014808094124868624,0.0,0.12459944230525286,0.0005350421739587328,0.010309976844945846,0.0,0.06936895087801818,0.0,0.000821864178650783,0.0,0.03788580458541274,0.0,0.0,0.0045156839572208654
T_CD8+_CD161+,0.14743446207847277,0.03130276422862458,0.1134352118860127,0.018064606336248838,0.013533721276701405,0.09981896991879036,0.035644376797931025,0.026758743406020837,0.03526266812558055,0.008457058807291033,0.0019229353809471638,0.02096053569222138,0.04986012165607856,0.028199575718667953,0.01675040021567941,0.01853198396413625,0.007272831431224192,0.03366049586007985,0.0025763158349303493,0.004803264762570574,0.021464265414104445,0.008221704753415358,0.014195847830302175,0.01675403661413881,0.1913021937572535,0.018228195950068384,0.015582712302507573
T_CD8+_cytotoxic,0.05568186126601034,0.04371616866758958,0.1267744484546138,0.0042638997537084045,0.0,0.0,0.014645944160270426,0.007208136321704623,0.01716900537311816,0.018931268543286188,0.0,0.004565741516517763,0.06327868365377991,0.027450513762967102,0.003975073566275573,0.0024574673333110134,0.01806965947420439,0.04848522408513178,0.023658606204589424,0.006918822854756503,0.0036865519683208403,0.0,0.01597525897214976,0.04748107958692937,0.4305220145546207,0.010743757478556003,0.004340812447588369
T_CD8+_naive,0.11294101967222718,0.006982460850035152,0.1474008472538162,0.01866232071233871,0.0,0.04622486829566544,0.2948019625283313,0.004729930023177774,0.041894698431833306,0.0,0.0,0.0,0.005398870099729404,0.03390817156375917,0.0,0.0,0.0,0.059527282840484114,0.003134471401951304,0.0,0.010261010903666521,0.02716026852876268,0.0,0.0,0.18697181689422168,0.0,0.0
T_TIM3+,0.05917147988926445,0.04644062275087698,0.06981768859782365,0.3767159587208923,0.011710177025040755,0.009870900263578905,0.012672387866533135,0.03363230664846932,0.034008493411398125,0.009342090026698108,0.0,0.011895134171062456,0.03504905194436509,0.032184987734334154,0.01419222605161255,0.0,0.021504998682053224,0.0,0.02221984240015193,0.0,0.021308396037832654,0.07466486532299427,0.006581190878307122,0.027011051354691125,0.04284708198141811,0.02715906824060157,0.0
T_TfR,0.0,0.023735283135364802,0.12995062227133208,0.020330239419153958,0.0,0.0,0.06893045265030445,0.024620521036610356,0.0,0.03348634564817091,0.0003510782593759097,0.002424931687901552,0.015448403421970795,0.0,0.0017160330257618688,0.014064029574135767,0.013573701146356235,0.0009385159846587021,0.027115716513294665,0.0,0.012472659153861422,0.0050616861549257035,0.018774196937592507,0.5602721084811302,0.011228335015269526,0.013587560632298063,0.0019175798505305722
T_Treg,0.026734821235391056,0.045112455606124466,0.5763201468946025,0.01609165005988386,0.0,0.003961997385594474,0.06086098749912426,0.013137873981319282,0.017877341821940642,0.01130962590058126,0.0,0.0,0.036263355780684015,0.01836538238105786,0.0,0.0,0.015320229376395164,0.032858962033748274,0.020323804156265234,0.0,0.0,0.0,0.004053475787472777,0.056812313532137865,0.03423100043324545,0.008711980633404465,0.0016525955010271113
VSMC,0.04919656099946221,0.013471599051605044,0.03415227071363826,0.0368053301801816,0.011593362397188896,0.029102607785721706,0.022265452174572962,0.041330060397090876,0.04121563836458394,0.0005118238586477102,0.0,0.007054140696010675,0.03129780006245263,0.027571529544150177,0.004696257097625141,0.025358437995884664,0.0009074207658051593,0.012948549749068658,0.0,0.0101111918997312,0.05661871226807193,0.008957393155250765,0.0478721496662717,0.0,0.015329307623688865,0.0,0.4716324035532953
