,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18
DC_CCR7+,0.0,0.026043812264664998,0.05873612563225333,0.0,0.050164429202091736,0.0,0.0,0.0,0.03801590539638912,0.0,0.38919751670144487,0.0,0.0,0.0,0.00043544231690437673,0.0,0.3902706062136949,0.0,0.047136162272556764
DC_cDC1,0.580204508498986,0.02615613884634597,0.044600803522676244,0.08529723212898552,0.040700123081128595,0.0,0.0,0.0,0.01365378287862561,0.004835199539291924,0.039736514443376995,0.0,0.0,0.001262291020602117,0.1170641329717575,0.0,0.0,0.046489273068223626,0.0
DC_cDC2,0.040329655204552346,0.0,0.0025216312702708364,0.0,0.00015096188051404798,0.0,0.0,0.009827670415015827,0.010828529288221849,0.02952742066371103,0.7253691959018507,0.0,0.055039062889227906,0.06465087791429378,0.025482865426382024,0.0,0.016301486750335926,0.013930953648915582,0.006039688746708028
DC_pDC,0.029837064237205887,0.0,0.0,0.0,0.009428610914126511,0.0,0.3198216208053851,0.02864581594267632,0.0,0.0,0.1965467572802565,0.0,0.0,0.30125227338159705,0.0,0.0,0.012659981203247779,0.03484455645737158,0.06696331977813347
Endo,0.04246495726479113,0.0,0.051587279976619514,0.0,0.009777864574947307,0.0002590202401335839,0.005657162832479713,0.01770693034025282,0.012390739006478982,0.045239503806218606,0.05301176769946557,0.00039496750763798257,0.5430481778405228,0.09210518392531687,0.02237301589828958,0.05429421587882565,0.01726557169352548,0.005233810317967942,0.027189831196526282
FDC,0.0,0.6392063023903677,0.0,0.09064221004549898,0.0,0.07161631383223302,0.0,0.0,0.019780699080674324,0.0,0.0,0.1325130184264468,0.0,0.0,0.04624145622477933,0.0,0.0,0.0,0.0
ILC,0.0,0.0,0.0,0.008684510724796148,0.0,0.0,0.15817018078779996,0.08524561614703181,0.0,0.07564031263799396,0.20742897554720927,0.03311333082148668,0.06625917808285736,0.1453236899084901,0.0,0.06953514943539955,0.07997116152798855,0.0,0.0706278943789466
Macrophages_M1,0.03335460482191066,0.04020461062353363,0.5438439571837206,0.06806116788250745,0.013663036053997313,0.039868082849809604,0.013270866309483991,0.02027065620460902,0.0088297523784995,0.0,0.058949853522793874,0.028440358583998605,0.023953530533054195,0.015751942782306183,0.04499571863602182,0.0,0.02780982603866427,0.011819795863841567,0.006912239731247694
Macrophages_M2,0.01593716069570851,0.0,0.03874763795426986,0.006675426566759971,0.06614075418085191,0.0,0.0,0.0,0.018899232053406836,0.0,0.0,0.0,0.0,0.7899324992725076,0.0,0.0,0.06366728927649525,0.0,0.0
Mast,0.005980790802737667,0.0,0.11841413677304402,0.059888281135173804,0.01951766928752084,0.008063153467592234,0.0,0.028242771946154085,0.007750303622468243,0.10181984237056844,0.2603911598966471,0.014968438456899984,0.08245131820643613,0.09500970235798133,0.05740399461585887,0.05792647600428101,0.0,0.05672164574938647,0.02545031530724991
