,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23
DC_cDC1,0.0,0.0,0.0001736513302420719,0.11433326323008113,0.0,0.09412157338268598,0.0,0.0,0.04094293656954776,0.009221007583477913,0.013197926824645937,0.0,0.03646298685802529,0.5703060739623641,0.038180807838435527,0.0,0.0,0.0,0.02188060765231193,0.01830255055323986,0.042876614214942425,0.0,0.0,0.0
DC_cDC2,0.07872820962138614,0.0036222873522922965,0.03261477868027806,0.023660546276453333,0.0,0.0,0.0,0.08495626720043528,0.0,0.0,0.0006857357101588537,0.1238453656523556,0.6076831423097726,0.014040868661162038,0.0,0.0,0.0,0.0,0.03016279853570578,0.0,0.0,0.0,0.0,0.0
DC_pDC,0.0,0.01842536273758679,0.005549868261558085,0.002229531642161946,0.03145109428348957,0.0,0.005365936750331393,0.07432789763594123,0.006436551820758871,0.026551066130447897,0.005541881094880988,0.7064056276935616,0.0,0.014050150074989519,0.0013599313735144958,0.0027385087533192873,0.0,0.03299701009013657,0.05590989600316087,0.0,0.001575125555020217,0.009084560099140491,0.0,0.0
Endo,0.05485931929605087,0.012321463285659731,0.489704823230369,0.026010852736204557,0.0,0.0,0.012787106634851083,0.07469231260220258,0.006394466015170459,0.022958133532549524,0.008722431484091788,0.014444336981013255,0.04440670336696857,0.01865630520463528,0.0,0.00041681803715836493,0.0,0.02312314633320188,0.06426247177803271,0.0,0.0495396186227837,0.016751023013706418,0.004592354861378454,0.05535631298397183
FDC,0.0,0.0,0.0,0.04523418583460325,0.0,0.07808603895601633,0.0,0.0,0.0,0.0,0.01852784835104776,0.0,0.0,0.0,0.0,0.1338104926449378,0.06132432085464182,0.0,0.0,0.6288807961342366,0.0,0.0,0.034136317224516544,0.0
ILC,0.011248481642099599,0.06966299596713957,0.0417570937221745,0.0,0.0,0.0,0.09494151557019019,0.2661051810607507,0.0,0.0,0.0,0.07605123632976969,0.13057728366526813,0.0,0.0,0.02914610073884426,0.0,0.1286016100939135,0.0,0.0,0.01310377684786688,0.06569248409311297,0.023333503090444484,0.049778737178425445
Macrophages_M1,0.010474218830480511,0.021164495160331226,0.021392920510647926,0.0438034768241892,0.0,0.06327285552991543,0.027235757689802787,9.093887706468877e-06,0.012699277920767721,0.009983324319181806,0.009572809621735992,0.04494119036790283,0.037803728873165625,0.03416204644324914,0.006926293770021369,0.027644581844286257,0.02891420274590555,0.005920962903822892,0.020795378721943595,0.030445875213479044,0.5324740369789353,0.00796183100564762,0.0024016408368817328,0.0
Macrophages_M2,0.007734465456331499,0.0,0.0,0.0,0.02412516471958295,0.004065661160349311,0.03612778253116114,0.12470424268844207,0.030167461342034418,0.04849030267148963,0.006008358041237533,0.026669471732848005,0.0,0.0,0.0,0.0,0.0,0.015524364910272925,0.6757157180195723,0.0,0.0,0.0,0.0006670067266782425,0.0
Mast,0.12791249398924642,0.02276565284684725,0.050505362234573456,0.05079277787305281,0.0,0.05283186639083737,0.0,0.08642013018187093,0.014076458175932009,0.0714937337767443,0.0019069861626911627,0.027134307549352813,0.20761166894143548,0.0,0.0423455873693666,0.012571836307460064,0.00772424780958851,0.0,0.06025622729965714,0.0,0.08350429588135733,0.02137046809489523,0.006655500800852277,0.05212039831423894
Monocytes,0.6526810607239574,0.005213984259056322,0.017655576773331183,0.022632826196772603,0.0,0.0,0.0,0.07802124031180907,0.005155357112398848,0.033225725361206986,0.006923060718894137,0.027835633159172046,0.0417746789044178,0.0,0.0007070463889213793,0.0,0.0,0.019318224044209017,0.04418159391290413,0.0,0.008134506856807264,8.701912539875945e-05,0.0,0.03645246615074317
NK,0.008449041059575368,0.03948665768916414,0.010720570518366918,0.0,0.07898197683666476,0.00572070412685298,0.07003409940278015,0.0939354164102197,0.0014251107425535716,0.03477917720708462,0.016552490342216203,0.06640751947391361,0.025903742924343238,0.002789821686289115,0.002932500129996454,0.016977259025858747,0.00926216353986103,0.4448511013453739,0.04739015867367281,0.0,0.0,0.020794202997590504,0.0026062858676222057,0.0
NKT,0.041929632797827486,0.0,0.030901081925756798,0.10953675219333554,0.14269215836872243,0.024709192569561465,0.05096679340685974,0.1973227200982365,0.02233759414417776,0.004192359191086501,0.002423373453018253,0.0,0.050638815609388654,0.06183252742374266,0.029220153540174872,0.002799929443389251,0.0,0.04437048792112308,0.0,0.0,0.08062561438618403,0.0,0.014563841061081608,0.08893697246633339
T_CD4+,0.06296684147074644,0.0,0.041122855727691,0.28131617796816144,0.0,0.051907928495152064,0.03543172431723138,0.05691604508099184,0.060868878923730725,0.0,0.0,0.0,0.04410281489237223,0.12873295883541985,0.011384057322230837,0.0,0.0,0.0,0.0,0.013978858153655157,0.10846069167466092,0.0,0.028863789898630695,0.07394637723932526
T_CD4+_TfH,0.0,0.08216917149737192,0.0,0.0,0.13973055753530403,0.008535246039492192,0.21553175949147843,0.20720368282633944,0.010055968456759575,0.06515467117095039,0.010102816730478689,0.059744548472551236,0.0,0.0,0.0,0.028390045672644464,0.04742994902646181,0.08722991012315748,0.02100701849020871,0.0,0.0,0.0,0.01771465446680156,0.0
T_CD4+_TfH_GC,0.0,0.07119811003219824,0.0,0.022589326824563088,0.0013572408795477925,0.05364010242978611,0.044744747077110486,0.0,0.0,0.0,0.0013836023600966379,0.0,0.0,0.0,0.0,0.15592966208819334,0.5470854727262106,0.0,0.0,0.05866869118492066,0.017575574774377486,0.0,0.02425735587945402,0.0015701137435415742
T_CD4+_naive,0.0,0.0,0.0,0.125261420147457,0.0,0.0,0.10750808423117879,0.0,0.6806341778239156,0.0,0.0013455168317543656,0.0,0.0,0.06992175695479758,0.0025435986902055297,0.0,0.0,0.0,0.011190619548249535,0.0,0.0,0.0,0.0,0.0015948257724416799
T_CD8+_CD161+,0.017127625094340848,0.037097336544935064,0.02277874093756549,0.02082188254572573,0.20493589395457015,0.02357522464120764,0.12381389411805799,0.18030873326775157,0.03387378256419656,0.030744735673411107,0.007684169518660206,0.061789241174038875,0.029165694381556737,0.005097331030212445,0.007834102491889046,0.021071646947534012,0.0093085768059071,0.057306908870929915,0.03258868466289909,0.00224156441634961,0.013690395538971323,0.020101415468917826,0.01880823425279197,0.01823418509757963
T_CD8+_cytotoxic,0.0,0.045792162218589796,0.0,0.005281035917437421,0.4510392967827408,0.00518060600879314,0.1494051265495857,0.060914229982286267,0.006122231374140476,0.029982323226247,0.019819443942536034,0.03154799021672199,0.013069911239010724,0.010052527759189554,0.0,0.009343866196183189,0.023200002943143422,0.06137984944935406,0.05000980747124421,0.0,0.019288510520633174,0.0027432649747288398,0.0028500930773776288,0.0029777201500565545
T_CD8+_naive,0.0,0.009636611150299184,0.00851320068991458,0.0,0.1971122589818914,0.0,0.1401553734429361,0.12360792583734398,0.3055269512755063,0.036369077006893485,0.0,0.06724039226398493,0.0,0.0,0.024634657938922094,0.0,0.0,0.00968541517377599,0.060177725280498126,0.0,0.0,0.017340410958033816,0.0,0.0
T_TIM3+,0.01788426024107106,0.048090684503045864,0.019622828187262683,0.0,0.04345993928088863,0.01259445497375944,0.07754959315483978,0.06064415740356125,0.00853355524465383,0.03561114939282498,0.022826381789443455,0.05202175198297161,0.03492764827669098,0.005797345641339248,0.07763669148823435,0.02702052626560522,0.011038709045414785,0.036955638147799424,0.005990154266034794,0.0,0.0030854133928948455,0.38483355177843825,0.013875565543225474,0.0
T_TfR,0.0,0.014329143161379617,0.004059053505875172,0.05369434258240292,0.0,0.0006306141879982725,0.5423697794224239,0.0,0.02387365406105448,0.0,0.026107281305083656,0.0,0.07059823048867322,0.021519325948817124,0.04085209383383907,0.0,0.1051916762594951,0.0,0.0,0.004860717377598388,0.03777878166867645,0.047445988782483996,0.00668931741419861,0.0
T_Treg,0.02309044185997685,0.05799323186007002,0.0,0.0,0.018802967580601276,0.00506745216595421,0.5834141122997,0.040984539773128686,0.04619248895097723,0.027091148198424574,0.013924397744058946,0.11760109796401824,0.0,0.0,0.0,0.010585925024364812,0.008618976619615443,0.024276757177701776,0.02061680975092006,0.0,0.0,0.0,0.0,0.001739653030487946
VSMC,0.011595498230381139,0.014524371060651766,0.05786418156566258,0.02518121631668949,0.015758232545375953,0.006577808232862442,0.029962767748138004,0.05581071099328252,0.021847751293549874,0.028515547803988635,0.002828355337346869,0.05289066678589037,0.03493884951377599,0.017818358365130918,0.007975910947936312,0.0,0.0004550131790050388,0.032151785122113676,0.014779274738443605,0.0,0.046548567710263014,0.032957835952592385,0.005574534032966163,0.4834427625239531
