,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23,mean_cell_type_factorsfact_24,mean_cell_type_factorsfact_25
Endo,0.007792226820764853,0.05573335531732386,0.012324990306552196,0.043335365083659275,0.01356410225602822,0.004318319637525272,0.0,0.07234896767815498,0.00768286483131063,0.0005969142996137904,0.05060828545310019,0.020483349697667814,0.0,0.0177088909000019,0.015402682524164851,0.05651360459628642,0.0,0.014403791851751693,0.004794370718474469,0.02542313458971911,0.058557738642514165,0.0,0.021236680938940822,0.0,0.48116502590206645,0.016005337954379042
FDC,0.0,0.0,0.0,0.0,0.0,0.0,0.6301015256775572,0.0,0.018405477405984343,0.13586451329934726,0.0,0.0,0.07683269471071362,0.0,0.0,0.0,0.0,0.0,0.033957223887683574,0.04574045726782279,0.0,0.0,0.0,0.059098107750891325,0.0,0.0
ILC,0.0,0.014507948625257398,0.033091959517612624,0.05289899514997531,0.03604608550832608,0.0034075701914885732,0.0,0.09503710316599213,0.0,0.011815531028913617,0.011071485821357398,0.03603850324650093,0.0012071203114563736,0.022429504134106912,0.0,0.017108496856045464,0.0,0.0,0.010632881124272986,0.00804781462703979,0.025196248194235833,0.0019157172465366068,0.017528538977141652,0.008969639613403423,0.027175595627282386,0.5658732610330546
Macrophages_M1,0.013345715019562247,0.0,0.020609096499239414,0.041380784675722246,0.033462721215905426,0.026190088737034597,0.032334740704482993,0.0,0.00926025608208157,0.027250417171854023,0.5278953411990679,0.006918380953519662,0.061557516067555725,0.00960709935530685,0.012772638661217924,0.005280653645465038,0.0009049410035716681,0.03308844237963069,0.0027381227613742613,0.043152632365988874,0.018698646749961204,0.008139109627466747,0.009752010377387273,0.026133775183847942,0.02000618408543988,0.009520685477315967
Macrophages_M2,0.028945569275376285,0.0,0.0,0.0,0.03008109740766514,0.03418512072934638,0.0,0.12820722161720877,0.005522577111974343,0.0,0.0,0.018246444146193013,0.0033971787318844604,0.0,0.0,0.013575061694948414,0.02528858989279335,0.0,0.0009675641072852148,0.0,0.6614090972438746,0.0,0.04315385409998213,0.0,0.0,0.007020623941467818
Mast,0.014904195588009978,0.05539545963667135,0.02365829988079494,0.2105743236330702,0.00500909891453946,0.0,0.0,0.08229802553196432,0.0015910807458102102,0.012829481675499025,0.08821401418374245,0.0,0.05150080830203125,0.028595824211775325,0.006877858176126463,0.1220943025862045,0.0,0.0,0.007815254038321532,0.0498614933917203,0.05224823557310834,0.0452209051094666,0.07293092058240973,0.005806454100454397,0.0506607094176456,0.011913254720634118
Monocytes,0.005947991420274664,0.03703374310574224,0.005853031331661431,0.0523976157734752,0.023009639462368052,0.0,0.0,0.07773130913793865,0.006102189019281934,0.0,0.006868738136943745,0.0188182400544616,0.0,0.0033071770862833872,0.0,0.6491988946821563,0.002072352645725151,0.0,0.0,0.020961793533559675,0.039793700176460306,0.0015226083493018263,0.032168442325722774,0.0,0.017212533758643022,0.0
NK,0.004663302427733326,0.004293275911408711,0.03803467314063278,0.019832205780331853,0.04593119413641931,0.061112130182259285,0.0,0.09168032664511906,0.014395034738728604,0.018332475472970764,0.0,0.431528670561732,0.003867231390606485,0.02825598365655112,0.018686658664463687,0.005239062051564899,0.07514715823663928,0.0,0.005764477729206862,0.0,0.037178531500451174,0.0007206516054779733,0.028122265449894986,0.005258571096802222,0.012258804183554123,0.04969731543745151
NKT,0.024135471615184163,0.08632857701044208,0.0,0.03379690915122383,0.0,0.02358399406496413,0.0,0.18478714166697452,0.0011980421811817474,0.003509814864708944,0.07802829635097908,0.0395249758766368,0.024797400280980767,0.0,0.05855147588028301,0.04418389457127085,0.13667002831416047,0.05010553702799513,0.014010055784034607,0.1042772818263209,0.0,0.02799632438425784,0.0,0.0,0.033503914709186254,0.031010864439214955
T_CD4+,0.06136433982634966,0.07300997392509566,0.0,0.04906487149369097,0.0,0.02935868493372556,0.014808137890872632,0.05482237772651088,0.0,0.0,0.10714916754660729,0.0,0.05193280216339969,0.0,0.017343527388329012,0.0590246414974704,0.0,0.12193084039158218,0.028280162981990722,0.27814896529055116,0.0,0.011499504517282669,0.0,0.0,0.042262002426541496,0.0
