,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21
Monocytes,0.16524791501430153,0.0,0.0,0.05896327807392296,0.14382305907140042,0.0,0.2409302288375094,0.07852583162371277,0.0,0.0016031224904916438,0.04027528033444855,0.0,0.0,0.003166911541421894,0.0,0.09328962768517825,0.02446553051921664,0.13897151802855184,0.01073769677984415,0.0,0.0,0.0
NK,0.10301761746399768,0.006073597741716664,0.0,0.0,0.004618020527785802,0.026091380605360835,0.02783236486987328,0.05144581392951119,0.006173362262880016,0.04013070662708038,0.0,0.009011563449114562,0.0,0.1016998027178847,0.01622356736313473,0.0,0.016707077705707764,0.0531337027561622,0.4540261702556334,0.006551224519512127,0.07289795636005593,0.0043660708445887155
NKT,0.13873612409478964,0.0489819083143493,0.01886940230752102,0.07446804238786885,0.055464283524377746,0.0,0.055265245776473765,0.06756906315039982,0.029727819185464736,0.0,0.11085055469173549,0.0,0.0,0.1268859688441825,0.004369478115178128,0.08837053205178497,0.0028384580304380838,0.034205540706587816,0.04648654938017489,0.016635770331416503,0.05579891112623496,0.02447634798102191
T_CD4+,0.05191880557014968,0.12974519699990625,0.06265473611309477,0.10928764376611869,0.06132840845271739,0.0,0.05571003704265893,0.019136931726067907,0.05416478681204808,0.0,0.2868940689198435,0.0,0.01950134869742961,0.0,0.0,0.07415909415540883,0.0,0.0,0.0,0.030396710154349842,0.034222969181585065,0.010879262408621394
T_CD4+_TfH,0.1722659285647119,0.0,0.008191303962008852,0.0,0.0,0.0,0.0,0.11700604313273942,0.010485437622281503,0.0833833023206238,0.0,0.045601268180463145,0.0,0.1524148582698447,0.029038824326420472,0.0,0.009606664375970757,0.046776142095125,0.08491421401662402,0.02184315272816013,0.2184728604050262,0.0
T_CD4+_TfH_GC,0.0,0.0,1.2495136990764076e-05,0.015442887838344313,0.0,0.0,0.0,0.0,0.052754724049091116,0.06937155100669187,0.022908397734731994,0.550921493310901,0.058332195959179704,0.001515773398318468,0.15788527967547505,0.0005678493054158484,0.0015470625123535293,0.0,0.0,0.024055221037474827,0.044685069035031375,0.0
T_CD4+_naive,0.0,0.07312168547713536,0.6843235615845012,0.0,0.0,0.0,0.0,0.001890329510235486,0.0,0.0,0.12644759925356164,0.0,0.0,0.0,0.0,0.0008434911908618142,0.0011994132642419164,0.009049354637945433,0.0,0.0,0.1031245650815171,0.0
T_CD8+_CD161+,0.14947382152428404,0.0,0.030614874142959693,0.008574117750468471,0.036564140264000115,0.020585120745272613,0.028215503446163512,0.08321562676910288,0.025707069218852765,0.03685928236059349,0.021389583996470892,0.007508797473577541,0.01514585533467835,0.2135916877590612,0.0193740854870389,0.018573852936037565,0.007755829085326463,0.05943497940975727,0.05473670269670897,0.023154900889764265,0.1323944284893448,0.007129740220536111
T_CD8+_cytotoxic,0.0,0.0,0.0,0.01713387162364946,0.011621428049536777,0.0,0.00523550336901081,0.06774288123512799,0.0077232615710745465,0.04617951366865813,0.00810717013355553,0.02409154143685206,0.014796453569223093,0.4516064556960324,0.007811992633242598,0.005422896726234819,0.020956960499182328,0.07932280657436742,0.054372331639790536,0.009952851131111112,0.1679220804433505,0.0
T_CD8+_naive,0.09862033004816784,0.0,0.3087321738323377,0.0,0.015523347982249152,0.019669704227108405,0.0,0.07444304594820632,0.0,0.009768583293666144,0.0,0.0,0.0,0.21379939386022406,0.001812036022244673,0.0,0.0,0.07984735297121649,0.004169061357517413,0.0037388473616322354,0.14498653440924256,0.024889588686187115
T_TIM3+,0.060115193911172204,0.003091946381903037,0.007930504140611902,0.004827705224909601,0.03214703320426778,0.3973088995947533,0.039742817446119856,0.04947917607146574,0.014558407165551861,0.049541445655469904,0.0009998914224296292,0.01289343568600681,0.0,0.05522847377758553,0.02804609171270594,0.0,0.024064017501235952,0.008653636776091907,0.034505983052820405,0.015242522990683597,0.08368885419964374,0.07793396408457125
T_TfR,0.0,0.019497457842787745,0.027484173486024256,0.0343984080953132,0.006728998626572539,0.040881351173920194,0.06534577992408783,0.0,0.0013946914948504555,0.014416912551722824,0.054683859929352256,0.10868303407404199,0.008474498808926605,0.0,0.0,0.0,0.026818944994236087,0.00022210865400967887,0.0,0.005639464636904864,0.5474666929571644,0.037863622750084966
T_Treg,0.09191815003986115,0.0028036324213415297,0.0534468117398169,0.0,0.0,0.0,0.0,0.02723282471369401,0.005039996223519275,0.06120837817457957,0.0,0.008885964925862994,0.0,0.06212777074175581,0.011983198050507318,0.003316029346301931,0.015538333095198843,0.01666322037139364,0.01933026220973134,0.0,0.6192280225516789,0.0012774053947569022
VSMC,0.07161094943263717,0.02550699602998918,0.020900013367948396,0.04174679314595257,0.06560330274101804,0.037466581579776656,0.035397992676205005,0.03684847646379217,0.008402002793081367,0.014394724329140997,0.02375310362556235,0.0012639244971080102,0.0,0.028829169819007478,0.0,0.494015610566712,0.0028289336022999313,0.006280669000615277,0.03063907657480681,0.0065031461071207225,0.03490835067960265,0.013100182967623166
