,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22
DC_CCR7+,0.0,0.0,0.04740148956785661,0.0,0.0,0.43814371866962704,0.0,0.0,0.049520443854157055,0.0174206419006062,0.0,0.0,0.0,0.0,0.024670984109629705,0.03721476284111401,0.027062838176901152,0.0,0.0,0.3585651208801084,0.0,0.0,0.0
DC_cDC1,0.11426959992510353,0.0,0.04050592108878738,0.09455503300152426,0.0,0.03826809960603221,0.020464458931852492,0.0,0.0,0.01795006553277764,0.571318437803475,0.009066249060619131,0.0,0.0,0.04088667386158615,0.0,0.013112874752298031,0.0,0.0,0.0,0.03820756758916647,0.0013950188467777294,0.0
DC_cDC2,0.023487628982034738,0.0010898837206226543,0.0,0.0,0.15173499166885474,0.6409862604158862,0.03250932756958528,0.0852329568289682,0.0,0.0,0.015178570024082962,0.0,0.00476473323642451,0.0,0.0,0.0,0.0019166530522370493,0.0,0.0022807172207484918,0.0,0.0,0.04081827728055525,0.0
DC_pDC,0.0006423522233415088,0.0,0.0077577945384609825,0.0,0.7073299279519779,0.0,0.0576767596917687,0.06624463300360027,0.03781691990423216,0.0,0.018006136856839702,0.027916098642349868,0.019198513999840617,0.03535868384786168,0.0,0.011283431628904295,0.0056294037206835,0.0014876322575167115,0.0,0.0005090582243591576,0.003142653508263037,0.0,0.0
Endo,0.026419561317953175,0.051199302374897206,0.005371748794628403,0.0026514809812700885,0.032933364846939414,0.04985145073569267,0.06527858247589072,0.07670833940745188,0.029605603394944485,0.0021507377994591727,0.020589910924775353,0.023761106552725477,0.012663694562324471,0.0009158146254209108,0.039614368041713366,0.01525495978746194,0.009171263328127444,0.0035361261280548325,0.00020906852275711526,0.017861579787479095,0.0,0.5058729262400667,0.008379009369965953
FDC,0.04535990180463451,0.0,0.0,0.07821775239280108,0.0,0.0,0.0,0.0,0.0,0.6287371822969579,0.0,0.0,0.0,0.0,0.0,0.0,0.018543367916436754,0.13385422887349874,0.06147160409751422,0.0,0.0,0.0,0.033815962618157065
ILC,0.0,0.047342722079786126,0.0,0.0,0.09220627670714089,0.12740046036181893,0.0,0.26204346560661046,0.1291182105003952,0.0,0.0,0.0,0.06988429277098844,0.0,0.006602364360348082,0.06674317352139823,0.0,0.03269506384385469,0.0,0.09679927727387479,0.0,0.042581336699946695,0.026583356273837372
Macrophages_M1,0.042937645157668514,0.0,0.011096564366117487,0.06445812975566513,0.04844998033366078,0.03812399813210587,0.01887043481785084,0.0,0.005184224563431772,0.03938531171445789,0.034063734253948104,0.01102440982767287,0.01933140493205357,0.0,0.5281708831116552,0.0054166334561778955,0.008822217418684502,0.030485772317194453,0.029996948348211257,0.031951099772782765,0.008203301412711849,0.02312254086000292,0.0009047654479466293
Macrophages_M2,0.0,0.0,0.028413679443714354,0.0076569964674987325,0.03873490211453709,0.0,0.6744905760524089,0.12371464151146187,0.010359639472208367,0.0,0.0,0.04871509930936254,0.0,0.022723533623781052,0.0,0.0,0.006342777202256769,0.0,0.0,0.03884815480277025,0.0,0.0,0.0
Mast,0.05485650171029356,0.0602064940177557,0.014601186549401185,0.057011956974945696,0.028667150840311434,0.24596729101994952,0.06809735001861351,0.10669837485954019,0.0,0.0,0.0,0.07256982624397626,0.023875316461633964,0.0,0.09413431716277965,0.0230144481027599,0.004112678778622914,0.014069846311766176,0.0088568231626327,0.0,0.04485048557712029,0.07062350041480338,0.007786451793094053
Monocytes,0.04410613065761289,0.09526845298546543,0.0017777983757289095,0.0,0.0,0.2503611032639975,0.09596044515495912,0.2545054958857714,0.0,0.0,0.0,0.011892744586391496,0.0,0.016778312076895972,0.07144984547851117,0.0,0.02659877942147746,0.0,0.0,0.0,0.0,0.1313008921131885,0.0
NK,0.0,0.0,0.0017151672203842049,0.0057817864688879455,0.06473091322260298,0.028244407926970038,0.04885661195106169,0.09510407368375125,0.4479359754296137,0.0,0.0032354599298142685,0.033789194211554116,0.039862960514847896,0.082334394209395,0.0,0.022299196312413897,0.016871720110501767,0.01748314892176177,0.00834763528003699,0.06962798398271858,0.0027350141696291658,0.007664004047373594,0.0033803524066810873
NKT,0.11176769624733009,0.08969765433663211,0.02214949613796008,0.027383163731708744,0.001105653098382624,0.06009250478924533,0.0,0.20542464268068097,0.04457698193239879,0.0,0.06389375142505828,0.003106847923517725,0.0,0.14637660280825132,0.07850783184164571,0.0,0.0029332428613745697,0.004933372428629679,0.0,0.05332682177246655,0.03030770183171769,0.03962200723270817,0.01479402692029176
T_CD4+,0.28959016303383184,0.07709504242597726,0.06212112518468524,0.05467753760303811,0.0,0.0584413483388166,0.0,0.06536721800830067,0.0,0.015892939441391942,0.13316963053583966,0.0,0.0,0.0,0.11133369967257503,0.0,0.0,0.0,0.0,0.036440039540572094,0.01156554933816292,0.05417777925355047,0.030127927623258288
T_CD4+_TfH,0.0,0.0,0.010368902811830347,0.009463228295773373,0.06374739567623348,0.0,0.020906019976635194,0.20101380188952614,0.08635274748153209,0.0,0.0,0.06616457618998309,0.08194610912114803,0.14211955315893335,0.0,0.0,0.00997381277195082,0.02895369373687972,0.04727157377977405,0.21424106972324547,0.0,0.0,0.01747751538655496
T_CD4+_TfH_GC,0.022591506754366695,0.0014948775464688625,8.922481509130945e-05,0.053356814472354075,0.0,0.0,0.0,0.0,0.0,0.058968318603642544,0.0,0.0,0.07119989392867357,0.0007360024743717185,0.017269291924492332,0.0,0.0013320850719089684,0.1555952918585731,0.54749046571522,0.045285668953729846,0.0,0.0,0.024590557881106923
T_CD4+_naive,0.12704047021391482,0.0033134397513754628,0.6826073666997221,0.0,0.0,0.0,0.011861350037389775,0.0,0.0,0.0,0.07009142602280033,0.0005862270633810838,0.0,0.0,0.0,0.0,0.0012213589468596515,0.0,0.0,0.10173985901536169,0.0015385022491951614,0.0,0.0
T_CD8+_CD161+,0.020821755120840627,0.01779446717878551,0.03403752218590408,0.024907848912716603,0.06751342355049862,0.03148323151712543,0.0328028802243001,0.180245565368091,0.057218099646320596,0.002818402706665534,0.005443369772450385,0.031184550584530124,0.03731770778609199,0.20767409414067614,0.011158007063428486,0.020538307699303995,0.00797188456334079,0.022202880329814673,0.01020869252132943,0.1245729885361243,0.007944130526994178,0.025262730679186083,0.018877459385481295
T_CD8+_cytotoxic,0.005315976914768117,0.0030550456079749657,0.006087930251308816,0.00547262325221421,0.031219990366905034,0.012291717810039916,0.050659925453549304,0.058889547407295614,0.06035995986597613,0.0,0.01031275108468153,0.03000490522217898,0.04596651021587536,0.45238044851219217,0.019393499818689507,0.0025778270253709002,0.019970191517787356,0.010377532319423174,0.023035180162967947,0.15054076075586217,0.0,0.0,0.002087676434938834
T_CD8+_naive,0.0,0.0,0.3050311503357131,0.0,0.07070582974070116,0.0,0.060780197624992885,0.12094273878128244,0.009205446816156633,0.0,0.0,0.037297848485859784,0.009735297954497976,0.19937113207698068,0.0,0.017818106879033038,0.0,0.001292498190603103,0.0,0.13653243350745023,0.024447955048542802,0.006839364558186158,0.0
T_TIM3+,0.0,0.0,0.008814409128140839,0.012443161034941433,0.05184064773006411,0.038280486619346174,0.007042972699239565,0.06175923483403654,0.03663087513294936,0.0,0.006422785489747384,0.035149429251166237,0.04865781657106906,0.04518814030680083,0.004143089598321572,0.38934105804776975,0.023512122745886186,0.027385310272912782,0.010783057616058836,0.07816197970391256,0.07779609302214456,0.02171386997416875,0.014933460221323459
T_TfR,0.05350031872021269,0.0,0.0260231916966293,0.0005744185704671802,0.0,0.06574257595275258,0.000967154921787032,0.0,0.0,0.006292839620013911,0.02080392177601087,0.0,0.01436422881209769,0.0,0.03587886235970639,0.04666528910606717,0.026418519462511135,0.0,0.10575994572728391,0.5452494818266131,0.04067393063203029,0.004458352314105142,0.006626968501711537
T_Treg,0.0,0.004819984337232624,0.04981168751600751,0.004561368692357739,0.11221589825056548,0.0,0.0231631169643547,0.047596237502161416,0.024375400819215767,0.0,0.0,0.025253424787117115,0.05887777362133057,0.02442135741956306,0.0,0.0,0.015056319781915956,0.010922772586721887,0.00824121202360528,0.5906834456978508,0.0,0.0,0.0
VSMC,0.02517998448865244,0.4822525783129408,0.020503541885112143,0.009602313718598203,0.06348688936434621,0.03559335723953257,0.014121177371282156,0.05513446018445463,0.032663266514928374,0.0004981371642423574,0.0183697998041404,0.027045778129833137,0.014482664498022641,0.014134754865547916,0.03963586362704031,0.03173117170701336,0.002722557258876674,0.0,0.0029875503748538726,0.03411899210271289,0.00801544452458761,0.06242025937044271,0.005299457492838847
