,mean_spot_factorsAstro_AMY,mean_spot_factorsAstro_AMY_CTX,mean_spot_factorsAstro_CTX,mean_spot_factorsAstro_HPC,mean_spot_factorsAstro_HYPO,mean_spot_factorsAstro_THAL_lat,mean_spot_factorsAstro_THAL_med,mean_spot_factorsAstro_WM,mean_spot_factorsExt_Amy_1,mean_spot_factorsExt_Amy_2,mean_spot_factorsExt_ClauPyr,mean_spot_factorsExt_Hpc_CA1,mean_spot_factorsExt_Hpc_CA3,mean_spot_factorsExt_Hpc_DG1,mean_spot_factorsExt_Hpc_DG2,mean_spot_factorsExt_L23,mean_spot_factorsExt_L25,mean_spot_factorsExt_L56,mean_spot_factorsExt_L5_1,mean_spot_factorsExt_L5_2,mean_spot_factorsExt_L6,mean_spot_factorsExt_L6B,mean_spot_factorsExt_Pir,mean_spot_factorsExt_Thal_1,mean_spot_factorsExt_Thal_2,mean_spot_factorsExt_Unk_3,mean_spot_factorsInh_1,mean_spot_factorsInh_2,mean_spot_factorsInh_3,mean_spot_factorsInh_4,mean_spot_factorsInh_5,mean_spot_factorsInh_6,mean_spot_factorsInh_Lamp5,mean_spot_factorsInh_Meis2_1,mean_spot_factorsInh_Meis2_2,mean_spot_factorsInh_Meis2_3,mean_spot_factorsInh_Meis2_4,mean_spot_factorsInh_Pvalb,mean_spot_factorsInh_Sst,mean_spot_factorsInh_Vip,mean_spot_factorsLowQ_2,mean_spot_factorsMicro,mean_spot_factorsNb_1,mean_spot_factorsNb_2,mean_spot_factorsOPC_1,mean_spot_factorsOPC_2,mean_spot_factorsOligo_1,mean_spot_factorsOligo_2,mean_spot_factorsUnk_1
exper0_location_995,0.11532797664403915,0.15480764210224152,0.2055230587720871,0.08293037861585617,0.17771032452583313,0.5037031173706055,0.3673916459083557,0.19322891533374786,0.20188294351100922,0.06847427785396576,0.3404586911201477,0.06763766705989838,0.02917809784412384,0.0317218080163002,0.03579485043883324,0.09304390847682953,0.09596642106771469,0.06342325359582901,0.22065342962741852,1.2090626955032349,0.29891103506088257,0.15694338083267212,0.5987266302108765,0.07952068001031876,0.09149537980556488,0.20419341325759888,0.038943883031606674,0.04253828898072243,0.08140264451503754,0.07325394451618195,0.0635218694806099,0.06176818534731865,0.08565740287303925,0.12115677446126938,0.4378572702407837,0.4377487301826477,0.07335588335990906,0.10018870234489441,0.0863587036728859,0.44111764430999756,0.01987520605325699,0.033105239272117615,0.06019333750009537,0.5010941028594971,0.06363610923290253,0.013624493964016438,0.46153557300567627,0.5767795443534851,0.18909220397472382
exper0_location_996,0.09215828776359558,0.10102022439241409,0.13368242979049683,0.08411332964897156,0.20670996606349945,0.2481091469526291,0.23106342554092407,0.08990045636892319,0.6374394297599792,0.5520440340042114,0.2530398368835449,0.034979596734046936,0.027321837842464447,0.0704740434885025,0.051631778478622437,0.05486685410141945,0.4934493899345398,0.09191621840000153,0.18813319504261017,1.4072271585464478,0.039993055164813995,0.423499196767807,0.49222666025161743,0.17419973015785217,0.0737675353884697,0.42172059416770935,0.5929378867149353,0.5486050844192505,0.10516219586133957,0.20856893062591553,0.037529293447732925,0.20065414905548096,0.050565097481012344,0.07531719654798508,0.3716994524002075,0.037024181336164474,0.05088615417480469,0.27750036120414734,0.10534454137086868,0.6152814626693726,0.05506829917430878,0.04760276898741722,0.1791578233242035,0.38572606444358826,0.04068547114729881,0.22272424399852753,0.5415177345275879,0.26554352045059204,0.23289987444877625
exper0_location_997,0.13283458352088928,0.26270759105682373,0.13105052709579468,0.16586847603321075,0.16770818829536438,0.47645682096481323,0.5370886921882629,0.42768359184265137,0.5347461700439453,3.702899217605591,0.1460399180650711,0.31143707036972046,0.05742036551237106,0.053118202835321426,0.043661586940288544,0.06035897135734558,0.07819421589374542,0.37548908591270447,0.05814706161618233,0.600143313407898,0.08862398564815521,2.397942543029785,0.18711720407009125,0.0824965313076973,0.09471574425697327,0.03446473926305771,0.27530547976493835,0.09863133728504181,0.07495052367448807,0.048839978873729706,0.21183212101459503,0.09160421043634415,0.0410202257335186,0.06853219866752625,0.2773174047470093,0.059051431715488434,0.057092443108558655,0.057597849518060684,0.050683461129665375,0.04013044387102127,0.12451046705245972,0.115733802318573,0.23992884159088135,0.765614926815033,0.1382972002029419,0.6853465437889099,0.0332222506403923,0.09230929613113403,0.27199986577033997
exper0_location_998,0.08250945806503296,0.0915207788348198,0.05990297347307205,0.0531439483165741,0.10672633349895477,0.2653746008872986,0.13737526535987854,0.12013024091720581,1.2395685911178589,3.441803216934204,0.17124342918395996,0.07999761402606964,0.055852945894002914,0.10378402471542358,0.06669299304485321,0.02078285627067089,0.0560980848968029,1.4745173454284668,0.05392870679497719,0.5873490571975708,0.0822431892156601,3.259709119796753,0.07057648152112961,0.11574570834636688,0.07586273550987244,0.0608893558382988,0.5421649217605591,0.21831555664539337,0.09115603566169739,0.5471166372299194,0.0437973253428936,0.5332356691360474,0.04094530642032623,0.11336884647607803,0.9051835536956787,0.10581208765506744,0.18836401402950287,0.030022457242012024,0.06587482243776321,0.046172529458999634,0.08256684243679047,0.12094511836767197,0.3317708969116211,0.5516728162765503,0.1493450403213501,0.8162857890129089,0.039641138166189194,0.13637752830982208,0.37928450107574463
exper0_location_999,0.2743411958217621,0.2839820683002472,0.13466505706310272,0.16881537437438965,0.19517245888710022,0.17063280940055847,0.18276751041412354,0.3483232259750366,1.412628412246704,2.1594762802124023,0.3992440104484558,0.08226155489683151,0.060700155794620514,0.24891509115695953,0.12518924474716187,0.042816586792469025,0.20471619069576263,1.0354456901550293,0.06459268927574158,0.6425352692604065,0.08358639478683472,2.1426684856414795,0.09310933202505112,0.06872224062681198,0.3245863914489746,0.04595091566443443,0.30276212096214294,0.07810129970312119,0.10750331729650497,0.31576237082481384,0.25882455706596375,0.3745306730270386,0.03136216476559639,0.08039750158786774,0.4941630959510803,0.1476428061723709,0.20446611940860748,0.06060880050063133,0.0452016144990921,0.05004260316491127,0.4121878445148468,0.10929818451404572,0.42312392592430115,0.8708230257034302,0.17017407715320587,0.6273410320281982,0.04324570298194885,0.16308273375034332,0.48530977964401245
exper0_location_1000,0.21868270635604858,0.14380554854869843,0.23830431699752808,0.15426506102085114,0.5210449695587158,1.8642948865890503,1.1916311979293823,0.24752135574817657,0.1581801474094391,0.5687247514724731,0.49496811628341675,0.08958543837070465,0.08464023470878601,0.18367797136306763,0.10807863622903824,1.057106852531433,0.25259292125701904,0.9393150806427002,0.03472260385751724,0.6330353021621704,0.05274847522377968,3.228611707687378,1.8080692291259766,0.025811655446887016,0.054418206214904785,0.026044238358736038,0.09731274098157883,0.031199898570775986,0.060985106974840164,0.06460302323102951,0.1370757818222046,0.11571303755044937,0.034410879015922546,0.11921302229166031,0.38264110684394836,0.05647582188248634,0.051933906972408295,0.042942725121974945,0.01912480965256691,0.021926149725914,0.666865348815918,1.422634243965149,0.2886536121368408,0.603492259979248,0.062428057193756104,0.22940637171268463,0.026670565828680992,0.29964113235473633,0.37434956431388855
exper0_location_1001,0.20556528866291046,0.16771845519542694,0.30220505595207214,0.19094599783420563,0.3322463929653168,1.0807839632034302,0.4659470021724701,0.4301798939704895,0.20908358693122864,0.711087703704834,1.0910006761550903,0.04846320301294327,0.021457260474562645,0.2259983867406845,0.12895962595939636,1.841169834136963,0.22015614807605743,0.6449834704399109,0.23240110278129578,0.5232134461402893,0.20511740446090698,1.673198938369751,2.270984649658203,0.04859532043337822,0.07747719436883926,0.12433865666389465,0.21498163044452667,0.054815344512462616,0.09492503106594086,0.1983489990234375,0.0676071047782898,0.14702609181404114,0.08365118503570557,0.2368566244840622,0.2371782511472702,0.1927967667579651,0.07186780869960785,0.05402403324842453,0.07358133792877197,0.9459995031356812,0.364853173494339,1.3640533685684204,0.33971527218818665,1.243752121925354,0.20928466320037842,0.1252281665802002,0.3932191729545593,0.28927162289619446,0.45540526509284973
exper0_location_1002,0.10066577792167664,0.06418155133724213,0.056741610169410706,0.041999299079179764,0.07984920591115952,0.3449189364910126,0.21820604801177979,0.07514267414808273,0.13494914770126343,0.6285768151283264,1.032225489616394,0.01984737627208233,0.022754410281777382,0.16136179864406586,0.09471002966165543,0.49677613377571106,0.14194154739379883,0.09197086840867996,0.21048881113529205,0.1539306491613388,0.16450589895248413,1.0561866760253906,1.2373307943344116,0.012483354657888412,0.08454076945781708,0.4890515208244324,0.08656163513660431,0.16173778474330902,0.11257410794496536,0.09767930954694748,0.09735134243965149,0.3534262180328369,0.4513353407382965,0.07525971531867981,0.09640416502952576,0.6446051597595215,0.03503363952040672,0.05200386419892311,0.06442327797412872,0.4942501485347748,0.11878139525651932,0.3064759373664856,0.1783856302499771,0.39431872963905334,0.04463524743914604,0.035770490765571594,0.5442112684249878,0.4995177090167999,0.2884669005870819
exper0_location_1003,0.0761483684182167,0.0671277791261673,0.059954702854156494,0.0665154904127121,0.06714445352554321,0.2690931260585785,0.09467814862728119,0.1619342565536499,0.05150919407606125,0.11233857274055481,0.45969358086586,0.01708759367465973,0.022090325132012367,0.32407841086387634,0.20520448684692383,0.09862037748098373,0.33077189326286316,0.083786740899086,1.431906819343567,0.562311053276062,0.059208620339632034,0.5588177442550659,2.32452654838562,0.1669156402349472,0.19561561942100525,0.13630138337612152,0.05972215160727501,0.12779004871845245,0.11176744103431702,0.10253769159317017,0.04901605471968651,0.10531486570835114,0.2233215868473053,0.06757990270853043,0.18433818221092224,0.12343797087669373,0.0366915687918663,0.04670664295554161,0.036415472626686096,0.5102678537368774,0.15526950359344482,0.1662096083164215,0.22962194681167603,0.7326362729072571,0.2112463116645813,0.11526693403720856,1.5340169668197632,0.437959760427475,0.45105603337287903
exper0_location_1004,0.1735251247882843,0.20237630605697632,0.23888260126113892,0.1564720869064331,0.26201772689819336,0.6684041619300842,0.5659975409507751,0.2671889662742615,0.04218607768416405,0.31919023394584656,1.7070270776748657,0.3724491596221924,0.41168883442878723,0.2613653838634491,0.1454961746931076,0.22399838268756866,0.46383607387542725,0.07076763361692429,0.084623783826828,0.8890510201454163,0.4480290412902832,0.29810774326324463,0.2817259728908539,0.25952067971229553,0.39750510454177856,0.2032185047864914,0.06287158280611038,0.09749078005552292,0.07107194513082504,0.07537972927093506,0.06928163021802902,0.3128645122051239,0.0377347357571125,0.2943740785121918,0.05770701542496681,0.35920169949531555,0.08888664841651917,0.06451763212680817,0.09022713452577591,0.2701590955257416,0.047255903482437134,0.10811975598335266,0.22655721008777618,0.8379258513450623,0.09832831472158432,0.08522526919841766,0.6170041561126709,0.31633564829826355,0.2904249131679535
exper0_location_1005,0.13550309836864471,0.1599525511264801,0.23721522092819214,0.07147834450006485,0.21478477120399475,0.5200269818305969,0.3249489665031433,0.11423932760953903,0.06754086911678314,0.15997450053691864,2.44284725189209,0.04277602210640907,0.11630839109420776,0.25533348321914673,0.2684292197227478,0.46241292357444763,0.16158871352672577,0.07919321954250336,0.06024963781237602,0.8025835752487183,0.6416266560554504,0.6427676677703857,0.429415225982666,0.3484419584274292,0.9177991151809692,0.050175007432699203,0.032004550099372864,0.037392135709524155,0.045521970838308334,0.03084106743335724,0.020877379924058914,0.5366900563240051,0.024982914328575134,0.47520551085472107,0.038811590522527695,0.1470341682434082,0.13263793289661407,0.04406425356864929,0.03406912460923195,0.06488849222660065,0.0714196190237999,0.2425473928451538,0.1249854639172554,0.40273934602737427,0.059006139636039734,0.03940979391336441,0.11918836832046509,0.109969861805439,0.196183979511261
exper0_location_1006,0.15511509776115417,0.10238649696111679,0.1733490228652954,0.06592737883329391,0.08728444576263428,0.3887355327606201,0.2085561901330948,0.04339255765080452,0.01829880103468895,0.02116648107767105,1.810335636138916,0.02038099803030491,0.011327323503792286,0.11240846663713455,0.060065723955631256,0.032287776470184326,0.11101838946342468,0.014657656662166119,0.020348485559225082,0.6630122065544128,0.271157830953598,0.06842001527547836,0.013529154472053051,0.0141815897077322,2.1440742015838623,0.02697123773396015,0.011154348030686378,0.01259731687605381,0.022943096235394478,0.01775929145514965,0.017328113317489624,0.2551470398902893,0.029422776773571968,0.1308472603559494,0.03086867183446884,0.3146032392978668,0.013125297613441944,0.02126041054725647,0.07797350734472275,0.037403568625450134,0.009938545525074005,0.0797940045595169,0.14919044077396393,0.5550843477249146,0.03675777465105057,0.009744043461978436,0.012301274575293064,0.028447873890399933,0.1667807549238205
exper0_location_1007,0.17731457948684692,0.21363762021064758,0.14629217982292175,0.07373213022947311,0.1409503072500229,0.19117523729801178,0.21526071429252625,0.1091490238904953,0.05393921211361885,0.03126391023397446,0.8364324569702148,0.02349395491182804,0.021544447168707848,0.8399994969367981,0.0971260517835617,0.02090122550725937,0.040965061634778976,0.01908762753009796,0.026504145935177803,0.2229602336883545,0.5396592617034912,0.051624514162540436,0.0810709223151207,0.012056414969265461,1.5386356115341187,0.0744246169924736,0.6512411832809448,0.03198813274502754,0.0666438639163971,0.1715700626373291,0.03676881268620491,0.2877369523048401,0.05078115686774254,0.4757973253726959,0.03267345577478409,0.03970117121934891,0.05041072517633438,0.03969067707657814,0.016835840418934822,0.4241839051246643,0.019999291747808456,0.03322305157780647,0.36617058515548706,0.5386228561401367,0.12379517406225204,0.009281815029680729,0.1085638552904129,0.08100125938653946,0.1095481589436531
exper0_location_1008,0.0690777525305748,0.06314980238676071,0.06109335646033287,0.06551863253116608,0.08480406552553177,0.27103298902511597,0.10726840794086456,0.08837893605232239,0.02436249516904354,0.049521468579769135,0.531592607498169,0.011293316259980202,0.008033002726733685,0.0470006950199604,0.046282973140478134,0.42292365431785583,0.14366953074932098,0.027731286361813545,0.33493226766586304,0.5386542677879333,0.031187202781438828,0.09800348430871964,1.0415794849395752,0.023187344893813133,0.6137874722480774,0.40235084295272827,0.03567757457494736,0.03803522512316704,0.09033964574337006,0.8378046154975891,0.0225770715624094,0.2709203362464905,0.18078677356243134,0.035641565918922424,0.01857507973909378,0.02117403969168663,0.06027352437376976,0.0721234530210495,0.0861988291144371,0.8294994235038757,0.14632120728492737,0.0540454275906086,0.10078920423984528,0.4800727665424347,0.07630153745412827,0.023642130196094513,0.6614322066307068,0.21591025590896606,0.18285946547985077
exper0_location_1009,0.08557432144880295,0.14678621292114258,0.12158185988664627,0.07714612782001495,0.1861775815486908,0.30997321009635925,0.19756296277046204,0.1756594330072403,0.08037537336349487,0.16760259866714478,0.5020397305488586,0.027471812441945076,0.05336233228445053,0.057294368743896484,0.05240613967180252,0.16833943128585815,0.22084881365299225,0.060471899807453156,0.9906432032585144,0.3653472363948822,0.369804322719574,0.31885769963264465,2.030320405960083,0.07660633325576782,0.6825329661369324,1.0291869640350342,0.09900075197219849,0.08938811719417572,0.13629285991191864,0.26659679412841797,0.0846271812915802,0.09785235673189163,0.13476607203483582,0.04998486489057541,0.03172152489423752,0.0421137660741806,0.06325697898864746,0.11080292612314224,0.09834375977516174,2.7202308177948,0.06312643736600876,0.3295173645019531,0.13830360770225525,0.9518066048622131,0.16815553605556488,0.02947339601814747,1.1116595268249512,0.4219743609428406,0.2887122929096222
exper0_location_1010,0.14424648880958557,0.15981227159500122,0.2466208040714264,0.11342800408601761,0.08912361413240433,0.2780858278274536,0.21130980551242828,0.09542316198348999,0.03014655038714409,0.038457684218883514,0.4031490683555603,0.023974133655428886,0.1540713757276535,0.06936422735452652,0.07333550602197647,0.9182605743408203,0.2615891695022583,0.03309381380677223,0.46913212537765503,0.6900440454483032,0.06490255147218704,0.087376169860363,1.3806313276290894,1.1142946481704712,0.09811561554670334,0.9089956283569336,0.052282966673374176,0.0457737073302269,0.07401254028081894,0.08847624063491821,0.14633336663246155,0.3106672465801239,0.15578658878803253,0.05468309670686722,0.028635192662477493,0.027066634967923164,0.04324658587574959,0.14498557150363922,0.04823806881904602,1.4771695137023926,0.07013528794050217,0.03718451410531998,0.11302831768989563,0.3786655366420746,0.0533706434071064,0.012069575488567352,1.3693907260894775,0.4553936719894409,0.25677990913391113
exper0_location_1011,0.23343344032764435,0.30693647265434265,0.45307406783103943,0.18508891761302948,0.24505038559436798,0.5139085650444031,0.5215317010879517,0.417836457490921,0.18436071276664734,0.22306102514266968,0.3839113414287567,0.058158326894044876,0.04628768935799599,0.11982110887765884,0.09053800255060196,0.10046371817588806,0.24943645298480988,0.042846158146858215,0.42501750588417053,1.3294579982757568,0.053427066653966904,0.04932669922709465,3.159193277359009,0.6759775280952454,0.43801093101501465,0.9576627016067505,0.24793307483196259,0.051529522985219955,0.15477311611175537,0.305370569229126,0.08664627373218536,0.5207068920135498,0.3174705505371094,0.11774016171693802,0.09806721657514572,0.06606636941432953,0.04360068961977959,0.08971258997917175,0.207074835896492,2.1091341972351074,0.040086835622787476,0.08900250494480133,0.2939884066581726,1.8847684860229492,0.21678197383880615,0.053982801735401154,3.646211624145508,0.9512559175491333,0.3792087435722351
