,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13
Macrophages_M2,0.0,0.0,0.02417910891896073,0.0,0.12555029143571642,0.6307194821449342,0.0,0.21308126309114725,0.0,0.0,0.0,0.0,0.006469854409241383,0.0
Mast,0.0,0.0,0.0,0.0,0.35958054103826204,0.640419458961738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monocytes,0.0,0.16748787425292108,0.0,0.0,0.14146936357486628,0.6910427621722126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK,0.0,0.0,0.0,0.0,0.40496287162807715,0.5291892840841941,0.0,0.06584784428772879,0.0,0.0,0.0,0.0,0.0,0.0
NKT,0.0,0.0,0.0,0.0,0.2994810188786532,0.7005189811213469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_CD4+,0.0,0.22773765446424468,0.03214039400573819,0.0,0.33672253671122754,0.4033994148187895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_CD4+_TfH,0.0,0.0,0.08597827795566725,0.0,0.1416913001861148,0.7723304218582179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_CD4+_TfH_GC,0.0,0.0,0.3867388716576206,0.0,0.5323788553035471,0.0,0.0,0.048090123657842,0.0,0.0,0.0,0.0,0.03279214938099028,0.0
T_CD4+_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T_CD8+_CD161+,0.0,0.042820570185696856,0.0,0.0,0.20188874333027929,0.54016168080024,0.0,0.139858442335171,0.0,0.0,0.0,0.0,0.07527056334861298,0.0
T_CD8+_cytotoxic,0.0,0.0,0.06259221245155394,0.0,0.2853005574144054,0.42445982189312,0.0,0.19661393997891824,0.0,0.0,0.0,0.0,0.03103346826200242,0.0
T_CD8+_naive,0.0,0.007545277127937163,0.031628867170455745,0.0,0.10199327909653919,0.34182064164804715,0.0,0.5170119349570208,0.0,0.0,0.0,0.0,0.0,0.0
T_TIM3+,0.0,0.21906993889983997,0.013468243316633946,0.0,0.17245408448564487,0.21588664684978845,0.0,0.20797320153741444,0.0,0.0,0.0,0.0,0.17114788491067812,0.0
T_TfR,0.0,0.16341294723542873,0.031236455061982395,0.0,0.18041411929630297,0.2099041036929338,0.0,0.31512224822096485,0.0,0.0,0.0,0.0,0.09991012649238722,0.0
T_Treg,0.0,0.11392743958108818,0.1404752598372451,0.0,0.1300148388679624,0.2468397769009794,0.0,0.3687426848127249,0.0,0.0,0.0,0.0,0.0,0.0
VSMC,0.0,0.19111455341633515,0.027350684673638204,0.0,0.14661552523041035,0.439492575028454,0.0,0.15705127570911132,0.0,0.0,0.0,0.0,0.03837538594205099,0.0
