,Astro_AMY,Astro_AMY_CTX,Astro_CTX,Astro_HPC,Astro_HYPO,Astro_STR,Astro_THAL_hab,Astro_THAL_lat,Astro_THAL_med,Astro_WM,Endo,Ext_Amy_1,Ext_Amy_2,Ext_ClauPyr,Ext_Hpc_CA1,Ext_Hpc_CA2,Ext_Hpc_CA3,Ext_Hpc_DG1,Ext_Hpc_DG2,Ext_L5_1,Ext_L5_2,Ext_L5_3,Ext_L6,Ext_L6B,Ext_L23,Ext_L25,Ext_L56,Ext_Med,Ext_Pir,Ext_Thal_1,Ext_Thal_2,Ext_Unk_1,Ext_Unk_2,Ext_Unk_3,Inh_1,Inh_2,Inh_3,Inh_4,Inh_5,Inh_6,Inh_Lamp5,Inh_Meis2_1,Inh_Meis2_2,Inh_Meis2_3,Inh_Meis2_4,Inh_Pvalb,Inh_Sst,Inh_Vip,LowQ_1,LowQ_2,Micro,Nb_1,Nb_2,OPC_1,OPC_2,Oligo_1,Oligo_2,Unk_1,Unk_2,region_label,location,region_label_colors
HPC_CA2/3,0.17299679992207917,0.16633398140114047,0.04562024182819262,0.12940275922364855,0.011054389826393363,0.5167847444599679,0.013661217754271586,0.013634373477746632,0.022925597932093887,0.12504459842940047,0.24448274935123557,0.07275549903281303,0.0018550932172616598,0.041694717090403004,0.051933125127308695,1.0,1.0,0.029044029847932022,0.06397283351295188,0.009786036976127309,0.006426151629995511,0.01742532563026908,0.13801371742528518,0.010803901218992705,0.0009021576254104556,0.0010382534236012704,0.1100599171897887,0.023622533892823625,0.0005154057260190384,0.0031510039409373435,0.000503884610545699,0.00962363435142091,0.0013220140891588707,0.0005327472712826243,0.0012247286752154107,0.0047847836056425,0.060863405599501354,0.0021987076464216955,0.06531830148481903,0.000780343194704748,0.37532153992155626,0.00959296531346591,0.0008860746210343296,0.000665054778497407,0.0035119891070512273,0.19806634016712027,0.44707992133425983,0.37386366225287426,0.0008891682876398495,0.06701362263200149,0.25427661865523987,0.12545159001924788,0.10494469029989327,0.14712325878918212,0.07019652225346774,0.025173431232360762,0.016804715924526276,1.0,0.3496089505055091,HPC_CA2/3,hippocampus,#63ffac
HPC_DG,0.14105040353883277,0.14749568621933434,0.0352618602804028,0.21371736125676646,0.0059389364337426795,0.4224137825642816,0.013640749288190607,0.010170209284089122,0.015783515746628823,0.22367716577789815,0.22206670590847805,0.0043700381253783584,0.0038194998872010198,0.0026451817567112045,0.0018351715830134403,0.029370781640594243,0.030844104358385842,1.0,1.0,0.0008752642066542034,0.0023380081103104825,0.017674009121725207,0.00453782798391237,0.0006421571147528216,0.004091435975428386,0.00094504259666063,0.0015887211066907328,0.004864890588013512,0.00536348395583848,0.00392846397225818,0.000533552355955515,0.3165476617731736,0.0011096013526846924,0.000532703822571869,0.0028775715504376744,0.001549826374906684,0.008995130192249364,0.0014083130717850705,0.011325140707192358,0.0015839268268064417,0.7608847262637439,0.008150561201934274,0.0012449334799242125,0.0013037526584871956,0.0007818783394024157,0.14495750675949642,0.09654087128073983,0.45728159769597726,0.0011827195930545211,0.005665862173812737,0.25273982076293144,1.0,1.0,0.20045485504281282,0.04534432127154778,0.008633735723020777,0.002402188733993834,0.005254131622910689,0.39158750762411665,HPC_DG,hippocampus,#b79762
HYPO_dorsal,0.031137126270752314,0.018468843821825766,0.003965936887100597,0.01106270205012017,1.0,0.035159951762405876,0.07242737752558988,0.06459157464793484,0.17169613653083915,0.03631927603354356,0.2664029731859998,0.00030753091782066976,0.00022763961853712855,0.0003065355865357831,2.566375189190266e-05,0.0001661351762931274,5.6580255142052034e-05,0.00010887176673601757,0.0001316469985320697,0.00015277089418468023,0.00030681475051927534,0.001346678621938949,0.0002507541761069389,0.00022298972721411907,5.28971114861636e-05,9.21415803741631e-05,0.00011492667865366158,0.0018587785467444936,0.00010515935607353562,0.005227668085214866,0.009021273703497503,0.004621270727226816,0.04701525834587935,0.014288528902939584,0.10647016243202558,0.12633590931392516,1.0,1.0,0.09591385465908588,0.0025118346137353157,0.03656896162128557,0.0054195663426663395,0.00020382640956671816,0.000570017797709369,0.001330895637874951,0.002117277075489836,0.028983160308720893,0.06480397382760471,0.0018348045403960888,0.00577411505874605,0.19424564615617662,0.012885004081272296,0.024212978626843493,0.34210147460417095,0.13490274150150203,0.13489843457923256,0.09069587285634632,0.0014782301868783683,0.5337687829706036,HYPO_dorsal,hypothalamus,#004d43
HYPO_dorsal2,0.05322459527864732,0.029407641733414664,0.010274962161335483,0.020832456600451684,0.35300836113080547,0.05251255149909998,0.052676481622543,0.5720744089149211,0.45901090543614276,0.060701428113149845,0.23949783947809963,0.00045629438179069394,0.00023369521539430988,0.00044344843064276774,4.3122231114949964e-05,0.00032348437322877495,0.0002019164066304308,0.0001107834522846834,0.0001322152219547357,0.00024456510917852595,0.0019921322037456516,0.0012612341835955246,0.00036804095252894676,0.00035055674842759027,8.286869276634648e-05,0.00015072715063634446,0.0004146163586595096,0.003949855147823862,0.00015059314409072094,0.026495015235887227,0.0070724177992989475,0.0017638219688604297,0.011318059466983952,0.003770293512083671,0.012550787973861994,1.0,0.18287611760060118,0.13363149801795832,1.0,0.002647437362258059,0.028177865326262604,0.005623278098637916,0.0027640640644830644,0.002870231743502733,0.034266369164480934,0.053477511639589345,0.032187326532675364,0.02908132139529897,0.0022478086399235994,0.007999708349876495,0.3381007681217113,0.0028555795714416514,0.008496632564898117,0.2619810690793165,0.23508837095192556,0.32317264314371497,0.23283106178912152,0.0008455141941583046,0.12168019323842634,HYPO_dorsal2,hypothalamus,#8fb0ff
HYPO_ventral,0.315684727179515,0.18568768634363386,0.008587090088683764,0.027974773214077393,0.5022974594323492,0.14746620814005823,0.0626757753052858,0.007587027052204423,0.04724187574234331,0.2118417732890894,0.25609502678428236,0.015797629989372824,0.02649244847802244,0.0008949817093148163,0.0002862580965220365,0.0006619001768137109,0.0001098621702516887,0.001169137397057056,0.0018243868619898557,0.00034632327955122505,0.0006717751057632661,0.030388361211152414,0.0009437198427129611,0.001100670457793944,0.0004010299963368882,0.00018377369679769154,0.0003152791735703863,0.0024306782671840227,0.006818897305515994,0.0005981676872210535,0.000640425409645341,0.0812273279130489,0.013602021826992309,0.0014297766212872601,1.0,0.004854009889538352,0.44029685862550266,0.5651035415935547,0.0031744156969368913,0.0008455202146426912,0.0986522659494862,1.0,0.0122218698683826,0.08034713932111023,0.0003402445231895858,0.002677743301887624,0.2526089993657378,0.1251661783789545,0.0017488486871684655,0.00633511727335689,0.28935517608001615,0.02329822589790444,0.11412035203106462,0.5986613002337614,0.07817718109154272,0.04123762241453218,0.022539842226569674,0.008274898960561298,0.5079003779087078,HYPO_ventral,hypothalamus,#997d87
HYPO_ventral2,0.02763865492790699,0.01593290703471479,0.004948885895994384,0.011132133580616533,0.9584029729187058,0.029873950633389445,0.018841334364980106,0.2631514567917615,0.3439100677482496,0.019304435420225478,0.20881481014755257,8.59402442089104e-05,7.410391765225832e-05,0.00012459719469588775,1.3539686420502922e-05,6.954898808172713e-05,2.007410505118657e-05,4.9930368629922876e-05,7.38296310632587e-05,5.616242086535448e-05,0.00014569911578935518,0.00046688580226510634,0.00010382983878983698,7.765522436034413e-05,2.433497250128075e-05,4.270353833625062e-05,4.628633853819187e-05,0.0009657501604888631,3.639879130511647e-05,0.0017990768333971936,0.0003641790168028926,0.0007718727879245195,1.0,0.0008548534034012973,0.017885550075462095,0.05120183979931771,0.1412587583045539,0.17996585312962043,0.21187000486309246,0.0006168747715434344,0.005805941922723361,0.0016617158387608878,0.00011413685754015525,0.00012219603048263766,0.005054931527496328,0.0025059971405866203,0.00434741665471705,0.007656925037482466,0.000327056333928308,0.0018619030831598384,0.13461860387843766,0.004012466125244891,0.019187812995420793,0.1534920787466537,0.10165017059506336,0.08069986303882891,0.08581537871834416,0.0007028052370776442,0.16679949812741673,HYPO_ventral2,hypothalamus,#5a0007
PIA_dorsal,0.356174061166116,0.41634734271618584,0.04071323187863434,0.24515832635409077,0.047247731566946526,0.2663581133434195,0.1417067927782246,0.010974541331275556,0.02935184373756055,0.604479861160456,1.0,0.022682515659699025,0.010503159087346373,0.010414445949744578,0.0007009869455440187,0.0065778172612858945,0.0007960199826534992,0.004661108615460808,0.002110383700709296,0.01573938364186131,0.005181043127603402,0.021865340410729364,0.011932210294650691,0.002534654655103941,0.039905432742155925,0.021178746091348413,0.0017519971721546943,0.01464452528533111,0.0341934844874405,0.0019872113557237625,0.0006702280454910677,0.04015610563908328,0.0013646868578694328,0.0005652388311328235,0.018721723901892147,0.0015205145872732358,0.007827671253102023,0.010955236105503516,0.006690734413479414,0.0019166292344191926,0.19070624152373675,0.013741636787889713,0.0041358453155995074,0.009661560997674113,0.0006564217036786043,0.01719289802430734,0.08017806610088404,0.033144814689322045,0.2137958221913907,0.005233404979657987,0.6540889529867463,0.010715378598302246,0.12722066647820213,0.2892415979100642,0.07455515970100957,0.03589294894384548,0.02183739629804002,0.0025369432863532573,0.8902791106953478,PIA_dorsal,"pia, lateral ventricle",#809693
PirCTX_L1,0.7004052529718282,0.8930865179441692,0.04604853289435567,0.1083677552450981,0.012541402412141179,0.29000901472311524,0.021072790711826543,0.005773041710946567,0.014727967864379273,0.12631592238081651,0.20724632928894535,0.02884240599628642,0.12596611069515046,0.07566319749684415,0.0008268066734720891,0.005601283397326515,0.0012950146087782276,0.004613032736873799,0.004940483860858339,0.056277848741057054,0.018195781086321732,0.14073883689438926,0.06468628144341118,0.04639392818610611,0.029706831627495416,0.00960317510886092,0.01995444233573646,0.017434272814015005,0.34188728978076793,0.000724831534706973,0.0020393349043411587,0.1159048659549815,0.0016150022094922082,0.0008421301253364282,0.021900068223686692,0.0017188647990464085,0.0270251403845193,0.008650927895248793,0.009891253176113304,0.0005309391852261151,0.491519082900362,0.07527652620242442,0.004473118443652247,0.006973634099272462,0.0007871234029960192,0.04252411592595507,0.8436455668403544,0.29635938862063677,0.0051207447583157895,0.032715556975010135,0.48393776346575545,0.03763990167491686,0.07151738350247294,0.593487452615896,0.041946328619406975,0.013841794719317103,0.00685594936536007,0.10065232153346447,0.3970065664082349,PirCTX_L1,piriform cortex,#6a3a4c
PirCTX_L2/3,0.7405817209343777,1.0,0.034803570798068145,0.04265896430986678,0.008577477849318824,0.2176265166051274,0.01853774509568922,0.00402313232483661,0.010901265251871281,0.062341596496153555,0.29287782168307286,0.0980251061394259,0.48582866817946974,0.030917865850443357,0.0017701464257265129,0.01040956722416281,0.0016275761779032628,0.016027441376665827,0.024684780624577643,0.07045009382375104,0.011032131545361661,0.14195014100315154,0.1106717076065474,0.018472476111669214,0.09846460750861481,0.013559704264617896,0.029232616587199584,0.03241867182790993,1.0,0.0004532559336445391,0.004093072922631102,0.3237861583542086,0.004419380036521962,0.0006457095684526049,0.0524290315026864,0.001886019651538176,0.0645915491730099,0.012406830251162458,0.00669724895584939,0.00091332287816371,0.609352006337691,0.28641273288465025,0.008437435764456921,0.010483652233619828,0.0006989434381684345,0.10461577594295669,0.7708554368938877,0.9107920896356285,0.0048556613104186915,0.05048320711012554,0.4985061998433651,0.13204157553708679,0.18054722955571156,0.9667964904524246,0.013442222719831122,0.002382886838385613,0.0008851879434443709,0.3501214202706938,0.5745511064160621,PirCTX_L2/3,piriform cortex,#1b4400
STR,0.35106990411690187,0.39611071003402276,0.09372485578430413,0.213303540735581,0.010990490074534589,0.9909578553187708,0.01698118028789893,0.009762108419241126,0.019036771560316242,0.28923072611898193,0.30232210143884425,0.0014863592544639538,0.008949209672676846,0.009407491189660975,0.0005510761063197786,0.004831953845862832,0.00034577547725521895,0.0010760431135381544,0.0012104700569350393,0.0028707952883320884,0.0031744255414772695,0.01343796474414313,0.0044008452460045965,0.002923135549474554,0.003306370467623215,0.0040546794668793115,0.005619031037016206,0.005434245978057463,0.004352952096160251,0.0013237778269496534,0.00029751828456936057,0.021349536117953257,0.0006843444297739946,0.0003893283040703558,0.030761226058753536,0.0023280505729515316,0.011963239330395059,0.004496844634234932,0.0046504938175992985,0.0006091482594202904,0.1229349108105766,0.16487662916314402,1.0,1.0,0.0017916519194673137,0.05095014524081214,0.12938323120782805,0.02066914279701246,0.009501145448206495,0.011714430004783609,0.6820297623533315,0.011026346618106536,0.0683370182293214,0.4287770753272512,0.1731245842355653,0.18001812748893653,0.15650438566586672,0.004142099290673757,0.1190855736965455,STR,striatum,#4fc601
THAL_latHabenula,0.06707739720882316,0.03944266330369211,0.007640858758161257,0.03132355282188266,0.32383599712711353,0.0597752302478123,0.1485813324161073,0.07504080472865952,0.13786663161957322,0.20907316107622972,0.1314754541393313,0.0025092849422047856,0.0015064715624116727,0.0006930268360421266,0.0009836523376372274,0.004072399835223549,0.00021742632623394334,0.0014144355013619846,0.0005724273327809014,0.000620365874315537,0.0030052869502563617,0.0022906525250514544,0.0004765941659516897,0.0003281698596147748,0.0005758071922418262,0.0005652771437627139,0.00032336667747026826,0.003279113879514523,0.000977895809070932,0.010490561981524758,0.011186014956909027,0.005804399746449167,0.005299705568935807,0.007412044039994007,0.07854549884316267,0.07358143575629593,0.10180597546368861,0.21149330083593218,0.06567644351313753,0.06640621878113964,0.054975967601141755,0.0060604453505476615,0.0009326841490432467,0.000627300006360888,0.004287911308647982,0.0033298759059897684,0.01871550189148354,0.020611740030922827,0.006188011716171251,0.0043144808786837775,0.14065719959009185,0.005562921053582837,0.041060909964557336,0.25923904541569553,0.10848215957333573,0.07350797468027222,0.05380994698445484,0.0012337023403661297,0.9117974812378811,THAL_latHabenula,thalamus,#3b5dff
THAL_lateral,0.037269775445500974,0.02631873534968991,0.009117158557246074,0.017617117209400568,0.09509380436387496,0.03265435715799942,0.01879632148804271,1.0,1.0,0.026328950917296305,0.3072307052801995,0.00018352339704492512,0.00023760663994719987,0.0007650545825617509,0.00010598950518552279,0.0012678543345282815,0.002194801903928057,0.00027666962737209807,0.00023998239733504222,0.0006351785934928812,0.0018250843327333988,0.001249423108213117,0.0008896113415293236,0.0003923416158248816,0.0002168479890235852,0.0004792839821381737,0.0005920503084305297,0.005802183139758117,0.0001954348481357406,1.0,0.16823200191953674,0.0011367159698763688,0.00047936369731524245,0.004063721147746539,0.000273882133502139,0.0038987712508384165,0.002063920380745015,0.0008001919425480504,0.029056317219445,0.0001545175413010591,0.005148239720122117,0.001192250634840043,0.0005907166968093936,0.0005510941643535063,0.008079503910547096,0.003717088313605778,0.0032044453575403795,0.004756743018302854,0.00162677254910002,0.004606375018117139,0.3609483863585589,0.0012116022914845917,0.0029478276713950854,0.29812277919569735,0.19858598361441107,0.3753363935737606,0.16143133222693104,0.0006101923232404012,0.03656767798746649,THAL_lateral,thalamus,#4a3b53
