,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13
DC_cDC1,0.0,0.11776446544130784,0.0,0.0,0.4865592255259296,0.20003338707284918,0.0,0.07429168245981775,0.0,0.0,0.12135123950009573,0.0,0.0,0.0
DC_cDC2,0.0,0.05700224422118443,0.0,0.0,0.23729765440612605,0.6002065234782122,0.0,0.0,0.0,0.0,0.0,0.08368966806026802,0.021803909834209458,0.0
DC_pDC,0.0,0.12339503730945374,0.0,0.0,0.0,0.7342309410334786,0.0,0.0,0.0,0.0,0.008860663488447065,0.1335133581686207,0.0,0.0
Endo,0.0,0.11402513197683785,0.0017749855772521916,0.0,0.15759939663362005,0.4920792254356049,0.0,0.03210165558088777,0.0,0.0,0.05457855965703397,0.12101294748568649,0.02682809765307688,0.0
FDC,0.0,0.2046350113962253,0.3091715696213063,0.0,0.1642105727069564,0.008851081671512464,0.0,0.1643236479011374,0.0,0.0,0.026723973042515333,0.04843789766316102,0.07364624599718572,0.0
ILC,0.0,0.029852604933228565,0.0,0.0,0.0,0.7119339357928528,0.0,0.008684485396116532,0.0,0.0,0.0,0.24952897387780212,0.0,0.0
Macrophages_M1,0.0,0.12373776108116104,0.10175940172208849,0.0,0.19497391424369526,0.31612442179194455,0.0,0.09765610541372251,0.0,0.0,0.08564718654815687,0.03216643945041363,0.0479347697488177,0.0
Macrophages_M2,0.0,0.03987311951047039,0.0,0.0,0.0,0.5879006789622414,0.0,0.022230274173422934,0.0,0.0,0.13789183432640523,0.21210409302745997,0.0,0.0
Mast,0.0,0.2003134406026612,0.0,0.0,0.0,0.7996865593973388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monocytes,0.0,0.06677333161810321,0.0,0.0,0.06208228630777182,0.668812288101007,0.0,0.0,0.0,0.0,0.0,0.2023320939731178,0.0,0.0
NK,0.0,0.11954794681650574,0.0,0.0,0.0,0.8798004824802895,0.0,0.0,0.0,0.0,0.0006515707032047565,0.0,0.0,0.0
NKT,0.0,0.15999177642711943,0.0,0.0,0.0,0.8400082235728805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_CD4+,0.0,0.17976154803390904,0.0,0.0,0.45468240001265875,0.36555605195343227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_CD4+_TfH,0.0,0.0,0.0,0.0,0.0,0.7587585009402138,0.0,0.11341802294250207,0.0,0.0,0.0,0.12782347611728426,0.0,0.0
T_CD4+_TfH_GC,0.0,0.34110618508723917,0.4348338701259042,0.0,0.048357324549718916,0.0,0.0,0.06373671779274018,0.0,0.0,0.10273939893826302,0.0019410845388576515,0.007285418967276936,0.0
T_CD4+_naive,0.0,0.022457724763864963,0.0,0.0,0.027934394570850448,0.0,0.0,0.0,0.0,0.0,0.9496078806652846,0.0,0.0,0.0
T_CD8+_CD161+,0.0,0.0677350914157195,0.0,0.0,0.0,0.9210293703180755,0.0,0.0,0.0,0.0,0.0,0.0,0.01123553826620483,0.0
T_CD8+_cytotoxic,0.0,0.2279903119073141,0.0,0.0,0.0,0.5895941940379643,0.0,0.0327877343062462,0.0,0.0,0.1496277597484754,0.0,0.0,0.0
T_CD8+_naive,0.0,0.0,0.0,0.0,0.0,0.4922712947705721,0.0,0.0,0.0,0.0,0.507728705229428,0.0,0.0,0.0
T_TIM3+,0.0,0.11192022343679775,0.03617442582385649,0.0,0.09163195106660177,0.36543753457063033,0.0,0.04238506752167555,0.0,0.0,0.07456542026985723,0.12701459331352843,0.15087078399705237,0.0
T_TfR,0.0,0.14654848362515074,0.0,0.0,0.05033831809917076,0.4083912118607266,0.0,0.020254378635532564,0.0,0.0,0.27150294134254527,0.002923771799090624,0.10004089463778357,0.0
T_Treg,0.0,0.003608563264584428,0.0,0.0,0.11860812864731954,0.4922469458985108,0.0,0.16248568223645324,0.0,0.0,0.22305067995313216,0.0,0.0,0.0
VSMC,0.0,0.10800457320774859,0.0,0.0,0.14572283627536836,0.491707905664572,0.0,0.021210023437961415,0.0,0.0,0.1247324536379994,0.10079611898499287,0.007826088791357416,0.0
