"","HYPO_dorsal","HYPO_dorsal2","HYPO_ventral","HYPO_ventral2","THAL_latHabenula","THAL_lateral","THAL_lateral2","THAL_medHabenula","THAL_medial","THAL_venmedial","WM_dorsal","WM_ventral","PIA_dorsal","VENTRICLE","HPC","HPC_CA1","HPC_CA2/3","HPC_DG","STR","AMY_basomedial","AMY_posterior","PirCTX_L1","PirCTX_L2/3","CTX_ L5","CTX_L1","CTX_L2/3","CTX_L4","CTX_L5","CTX_L6","CTX_L6b"
"Astro_THAL_lat",0.122781594136654,0.727342309706369,0.0316102563126192,0.453674893833473,0.110940645523126,1,0.822251015638615,0.0754641629124925,0.627033706200427,0.491870821530922,0.0571793615181684,0.128116335330088,0.0368829606752999,0.0552754276092203,0.0831443014810213,0.0466235554837546,0.0955324265694461,0.0908807074150801,0.0459505961732778,0.0315861961756907,0.0475401277287115,0.0190300786939393,0.0293189401605779,0.118044152552684,0.017930816281341,0.043581097708172,0.114872951211908,0.0586987394381427,0.0630044278974374,0.0344159578324884
"Astro_THAL_med",0.181842386602625,0.379912331855528,0.0914664856817431,0.379734444752156,0.126573934734105,0.74726855098924,0.42129017886673,0.140232660032105,1,0.740580261114209,0.102814473328964,0.130259031738214,0.0620193847459952,0.0995998926570853,0.0885844965183798,0.0806388127595922,0.139289014822255,0.113629477709784,0.0702480642808868,0.077452411665788,0.108415916822116,0.0393921412556983,0.0700949321577517,0.110716084051525,0.0272516736923133,0.0722793798234711,0.132779771820023,0.0932015631225583,0.0974226658184666,0.0761125498563694
"Astro_HYPO",0.887927229227374,0.378462914780764,0.488552020162348,1,0.267875806681966,0.108681953487711,0.164957839466069,0.278064670543442,0.629694191859996,0.417353031351471,0.0533239201933177,0.076726418185015,0.112363132581526,0.182435741050905,0.0303459539793448,0.0238941226324294,0.038334709753567,0.0408707531551283,0.0335051015835245,0.0486648730145065,0.157516378309364,0.0271762078696766,0.0335237462512204,0.0265148328469035,0.0107318743134523,0.0179056681860663,0.0282528732951129,0.0259504020205787,0.024874075716583,0.0313564477349764
"Inh_3",1,0.156088808637591,0.331695815288293,0.144010912745886,0.0712516255209194,0.0200772973589712,0.0649197095756726,0.113309927176823,0.564249467446719,0.052496998332757,0.0328400464686405,0.0299905797018388,0.0271265026905467,0.0602004426470203,0.029632395255918,0.113534636575065,0.200206285692568,0.0788262665814383,0.0401387602929888,0.135145521969946,0.21134176636997,0.0472533226334982,0.126446089292133,0.039022155522554,0.0148058560971141,0.0520660252612812,0.0400695459969526,0.120250488109961,0.0673513638052384,0.134834530071726
"Inh_4",1,0.153668434209091,0.573015713006111,0.25945654405961,0.166773251144202,0.00386238278726319,0.0360092116958142,0.229776537113296,0.325510203077922,0.131759105235472,0.0220605748701265,0.0204050777289205,0.0399871632873382,0.087403037124433,0.00645639162100251,0.0106902916059238,0.0142263370518512,0.020344631609386,0.0180566838291506,0.0491304824988496,0.103277107481876,0.0185068055937076,0.028374125326093,0.004817604832156,0.00323859407806955,0.00547221526778362,0.00576221479318361,0.0170443178379498,0.00766218287881069,0.0382405248943591
"Astro_WM",0.053042304399529,0.0668366671243679,0.159569911505222,0.035846156459384,0.120436809606324,0.0239093480236562,0.160867019254615,0.753725309968636,0.0612114923223316,0.0286982372736701,0.670438984223633,0.427984898196374,0.428011764567997,1,0.247171766195933,0.0793133912556834,0.106166467810031,0.201147723188004,0.269809511158009,0.105057665982065,0.200721788888047,0.078535080689233,0.0486615069770196,0.0270071053252774,0.0459225722587745,0.0279197255041178,0.0225862717257567,0.037124525904834,0.0804224946866646,0.182565273467643
"LowQ_1",0.00224359201651887,0.00230618810285607,0.00231181968576274,0.0010726546748811,0.00392788458365454,0.00149710774571107,0.00397152231678618,0.0324006959272007,0.00167147544359009,0.00097068075004015,0.0304823189190722,0.00865646471675236,0.104722633529248,1,0.00310646552565223,0.00294304697983883,0.00329447978611992,0.00341132285917912,0.00922168750029755,0.0129944055771566,0.0168643139207297,0.00376988387066759,0.00488890792247519,0.0021025942472262,0.00340252759173744,0.00202226423430227,0.00203902792319518,0.00239307998229932,0.00381167940933364,0.00500568590145642
"Astro_HPC",0.0375626631294182,0.0457041525606807,0.0593003420561177,0.0330899109262096,0.0342809931474253,0.0500068876441135,0.100875423327234,0.0647191737661891,0.083278410721183,0.0437760923633294,0.119891124348713,0.112782803754609,0.207182637712965,0.0814597536925742,1,0.230533965635495,0.280951994245894,0.460288872238238,0.283169436902846,0.120899681921706,0.131956961173298,0.0946844097137613,0.114551019647114,0.143050067106724,0.146896866364435,0.15590424213919,0.173750038534107,0.151432187971623,0.18153364222276,0.175884666394887
"Nb_2",0.0859950832948074,0.0353017007107984,0.222248229332783,0.0842164724457928,0.0620953494378438,0.00865045269374845,0.0420164864790974,0.308513600603042,0.0619552130728807,0.0228742863454315,0.216079880604448,0.22761755632476,0.16919183425667,0.531780501429687,0.117185750960395,0.205279542967919,0.206850521633935,1,0.141338733835409,0.215869731885797,0.356790752425049,0.0912962924738766,0.157158681808303,0.0270008668631718,0.0318640447008303,0.0778727653048718,0.0257537727495877,0.0964888189472471,0.095022885777879,0.182333864547471
"Nb_1",0.0508610545011505,0.0155362078355657,0.0948083827893765,0.0282724767485503,0.0180076890450558,0.00833525365183916,0.0132947361162448,0.0747565851634157,0.0346595931758225,0.0197332453868104,0.0413466143206736,0.0382317147384484,0.0337356909750089,0.0427489829654112,0.081606152492406,0.153166922805095,0.236453560281632,1,0.0433395929609372,0.175123045130354,0.2480856008652,0.0733766202185178,0.155327705733994,0.0249874981078693,0.0184613745662842,0.0696453900307704,0.0345697586281951,0.106100602129924,0.0762036185302604,0.153301076029664
"Ext_Hpc_DG1",0.000833076911944301,0.000678522916154137,0.00234231782406833,0.000565332878488593,0.0023116226887995,0.000978392224035968,0.000751518807016352,0.00892324935482272,0.00110787669708945,0.00202771061124434,0.000834468594556469,0.00179603287139438,0.00476361413462773,0.00198022542417845,0.0543404003977481,0.0206156351516508,0.0247503389102245,1,0.00222314226814907,0.00576944008367164,0.00987589003335169,0.0039314003993159,0.0131675065176088,0.00201644374587204,0.00191214072332048,0.00563775926661261,0.00269353689275145,0.00394413234886602,0.0037485407942014,0.0040015268571475
"Ext_Hpc_DG2",0.0010615503631211,0.000868022083379225,0.00399884065108465,0.000713147773082844,0.000893137254431637,0.00103076832010615,0.000959342622548596,0.00298714854735626,0.00137973586158153,0.00143285112874218,0.00103661763083587,0.00166332690490265,0.00334912089233662,0.00234029840713388,0.0590038562306209,0.024615700520629,0.0511149044083529,1,0.00292895087056026,0.00878191318452881,0.0120690582418207,0.00458753030791584,0.0157927139241604,0.00237645207582346,0.0020575963781553,0.00774184799442086,0.00316990727353881,0.00614056622280982,0.00556417730073257,0.00666848756880291
"Ext_ClauPyr",0.00446306594216605,0.00415277375965738,0.00838019151515079,0.00284767544661387,0.00297456557863974,0.00631086315759043,0.00501588971321623,0.00626886631301728,0.00709684619161767,0.00601795122993248,0.0204092037556544,0.0140178448964841,0.0150832057847222,0.00616681983929411,0.0169106009825478,0.0372910967154262,0.0625664745261286,0.0256525126439345,0.0241991712277068,0.054472296257801,0.0154953612233891,0.0691977545547609,0.046953195349232,0.0446967696977604,0.0139228647666651,0.0444285353083366,0.0456153069514637,0.165323344042057,0.570922899329463,1
"Ext_L5_3",0.0146497012278102,0.0127563691095095,0.0678636254228597,0.00933683005660086,0.00954716214823732,0.0138687971518862,0.0147392764963828,0.0263419319654417,0.0172348174906548,0.0211809892942214,0.0390282335759352,0.0214123041663421,0.0538305609311764,0.090165579554728,0.029564473803379,0.0945162585776849,0.0921201919405494,0.113332676831558,0.0433587921770223,0.134621784289191,0.0773114975044022,0.131158405421537,0.111492456735861,0.0189202347122875,0.0136662923438852,0.0597517893529693,0.021149341405405,0.146822663376552,0.0882480333829889,1
"Ext_L6B",0.00229715876754645,0.00244735837732252,0.00581471808575478,0.00151253918687224,0.00125324140935076,0.00374865342116152,0.00262837146446507,0.00371929167780628,0.00386469883638259,0.00470087902942255,0.0247335641773998,0.0159477789755718,0.00661448145499798,0.00550382104087497,0.00967605454314522,0.0160048875891952,0.0197695631966512,0.00996321342800707,0.0121915192778438,0.0266220994763385,0.00922173685310562,0.0481721624182637,0.0360923112427007,0.0100143625848279,0.00364654673082026,0.00903659234001709,0.00994530871855308,0.0884615643404691,0.0830037978079151,1
"Ext_L56",0.00165710362567172,0.00226337529419594,0.00346878028190608,0.00121261551985864,0.000943532892011998,0.00372095294382588,0.00297097004121868,0.00235325717012794,0.00333415477903731,0.00258804769069479,0.00755396192024691,0.014488873125383,0.00723204442364767,0.00398516634269243,0.0108401781383795,0.0338418106032633,0.0341720777470456,0.015126417662096,0.0161908296691399,0.0144497382609049,0.00649331893039615,0.0091924437316731,0.0183449167493644,0.170865918233985,0.0153534420073136,0.0618379559518644,0.0762324961838533,0.160058075264244,1,0.280709054434729
"Ext_L6",0.00483161154485447,0.00461578432470169,0.0132993355767909,0.00335915806741466,0.00264472923837791,0.00845158960735039,0.00604803053940073,0.00754955322239125,0.00815929581022749,0.00808828117975797,0.0147884597209369,0.00945230607054709,0.017961816221116,0.00937552374120924,0.0276869280294355,0.0954714739564897,0.130946364329418,0.0487640326870295,0.0188867314346885,0.134498539514368,0.0286017897539312,0.0597507124711565,0.139217217041005,0.06944400679002,0.0204489220253022,0.119784204915791,0.0491242539653406,0.631616005636768,1,0.381599038263077
"Ext_Amy_1",0.00203835905320399,0.00158498056965592,0.0213766125145821,0.00120858633920563,0.00264154513426083,0.00136704011400185,0.00188942456141463,0.00501264230345767,0.00220094645964027,0.0020750806054409,0.00236719979828125,0.00299306063660091,0.0260498390341224,0.0288902190202848,0.00402492694759939,0.0303604961560681,0.0938584502598966,0.0177515241577421,0.00370819010873709,0.0670620698271383,1,0.0206287712713069,0.0736724355195726,0.00211330213970321,0.00181538512002486,0.00443465561001931,0.00239360991465569,0.00989319288186578,0.00559784782037537,0.0152002130885982
"Ext_Unk_1",0.0210846396799262,0.0120623252615494,0.121432828565334,0.0108651882150158,0.0136828153195,0.010344063337216,0.01133965859966,0.0405350189010689,0.017716389655138,0.0209644589422487,0.0189734076822945,0.0217437060264573,0.0500485447264884,0.0635854354569138,0.0358521984962425,0.0983724453468817,0.0959797471867987,0.465170835207815,0.0454134456132948,0.174879850323114,1,0.107142270307158,0.231350237985995,0.0172153636353848,0.0152875074929266,0.0507075130373817,0.0260385940856501,0.0625010911668577,0.0411905282578551,0.0853128138492717
"Ext_Amy_2",0.00191143030190681,0.00157950669309282,0.0579421954759584,0.00123263148138614,0.00189322579550639,0.00164084009678988,0.00158301035492447,0.0031940874902396,0.00244421097099233,0.00335086055497279,0.00208074064353516,0.00285031904542575,0.0127731385503885,0.00665797525439524,0.0101925522400683,0.0503947377985482,0.0531318615981951,0.0360052302944947,0.0199834761353086,1,0.183802687558858,0.0681867999208197,0.231758084234083,0.00434249504126173,0.00701816962596419,0.0319151137557273,0.00541925219811197,0.126382070718174,0.0181286377946631,0.0889196202015248
"Ext_Pir",0.000883528840502221,0.0012128394683442,0.0114726770259471,0.000735708610183723,0.00133975645392477,0.00158893387886071,0.00114004333192904,0.00235460536578375,0.00149160254145605,0.003075485373578,0.00171094612652406,0.00201534522920303,0.0332859106287013,0.00502753024846921,0.00615053219951223,0.0218955688192461,0.0249358475832799,0.0556726544341149,0.0113974874783223,0.139871565548534,0.150070838836604,0.242152382496672,1,0.00217916943730766,0.0130707679725464,0.0487430535489292,0.0109910446336023,0.0314595253960204,0.00877296501261158,0.0265107375647931
