,Astro_AMY,Astro_AMY_CTX,Astro_CTX,Astro_HPC,Astro_HYPO,Astro_STR,Astro_THAL_hab,Astro_THAL_lat,Astro_THAL_med,Astro_WM,Endo,Ext_Amy_1,Ext_Amy_2,Ext_ClauPyr,Ext_Hpc_CA1,Ext_Hpc_CA2,Ext_Hpc_CA3,Ext_Hpc_DG1,Ext_Hpc_DG2,Ext_L23,Ext_L25,Ext_L56,Ext_L5_1,Ext_L5_2,Ext_L5_3,Ext_L6,Ext_L6B,Ext_Med,Ext_Pir,Ext_Thal_1,Ext_Thal_2,Ext_Unk_1,Ext_Unk_2,Ext_Unk_3,Inh_1,Inh_2,Inh_3,Inh_4,Inh_5,Inh_6,Inh_Lamp5,Inh_Meis2_1,Inh_Meis2_2,Inh_Meis2_3,Inh_Meis2_4,Inh_Pvalb,Inh_Sst,Inh_Vip,LowQ_1,LowQ_2,Micro,Nb_1,Nb_2,OPC_1,OPC_2,Oligo_1,Oligo_2,Unk_1,Unk_2,region_label,location,region_label_colors
HPC_CA2/3,0.8925660382121768,0.7630043523763809,0.1614467651794732,0.25214706832594663,0.04919992254851495,1.0,0.0707995010757862,0.11900896374503611,0.221488435157369,0.1211735977291617,0.5669921470649406,1.0,0.05364401322188649,0.07250483624443267,0.06483315869052708,1.0,1.0,0.0284968741716172,0.06118926574633915,0.012770806991058651,0.013502595374816087,0.04945684540434643,0.026140259732110406,0.0300109210992898,0.1324122930072735,0.17000433983242627,0.02359130486975939,0.06695222596763255,0.025124219390754658,0.011860599672148846,0.007402051753694252,0.35679296585205444,0.3818847330823538,0.21471701001528012,0.018196035205023532,0.03764631412591452,0.250518716473186,0.013955422642995258,0.3254163982560694,0.002679188316594545,0.7081873185636919,0.14544168768684165,0.01360711419935175,0.010895198410006742,0.01457584794588841,0.3895110254428197,0.48175612446659183,0.5538242747514659,0.0033155516687762895,0.20327727601379877,0.5540757065066485,0.2659283720094501,0.25910431732147465,0.5670484733413521,0.08766518851698817,0.12263064771048372,0.03677713003913017,1.0,0.7913542205716286,HPC_CA2/3,hippocampus,#63ffac
HPC_DG,0.6549348576733011,0.6909856550591601,0.3278165397774205,0.5636947573284768,0.05989065929834698,0.8035948997243624,0.06586674301815094,0.10418777945125532,0.17955152580014935,0.30307064076893925,0.7799180961691372,0.30143890491285513,0.044581945978374615,0.029293316677293263,0.006572645963379765,0.12462220150014919,0.071281062111906,1.0,1.0,0.057696153506536216,0.03963594901476302,0.024743881799717125,0.023066709887812408,0.03189068841128018,0.17891579926545018,0.06965006331664465,0.012720851639758888,0.05098484349973182,0.06059289978815168,0.02241925130682139,0.01082808315267849,1.0,0.3711225332431018,0.21925681908351144,0.024811900862281744,0.028159661310877913,0.11070777088699645,0.022669695937779535,0.22124291326814838,0.0069339401895457484,1.0,0.09543056472196369,0.016385175197377148,0.014953920705565255,0.010590238127588655,0.41535452557728336,0.21137829564151855,0.4254893625909774,0.006279991233911274,0.09154824378531587,0.6937685131516809,1.0,1.0,0.7286876705931647,0.09769856942006283,0.04486181811946737,0.02089824648382429,0.173094780891292,0.5340750947812771,HPC_DG,hippocampus,#b79762
HYPO_dorsal,0.12605462181556562,0.038657961899569604,0.01621171732576442,0.03013608091159581,1.0,0.06833566914536274,0.09757315200648371,0.1014007381472384,0.21249895644393932,0.038529265814132865,0.36722286846918206,0.03639440696891776,0.0020735384813424518,0.004107131431353552,0.0004212368291863109,0.003303774005008945,0.0006625070139431552,0.0009052434793845074,0.0010406198285864232,0.0012926605359322102,0.0019303315716571127,0.002247662530987567,0.002529311430163824,0.005278639272370499,0.020453951296889476,0.005090783294377093,0.0029142687574212874,0.01152225054261034,0.0009262701108684063,0.019093025859794013,0.019620269798181707,0.07309092215501245,1.0,0.27582181265816136,0.1729868034682385,0.3089811238728608,1.0,1.0,0.11431161537918666,0.0025443672108500476,0.052516489557482914,0.045103164570950524,0.0036290226989472304,0.006739572865749679,0.005681840268821,0.009487082019026571,0.06940893178544273,0.1738674917506592,0.0015895148808810831,0.04513883799908783,0.24181565331105745,0.0544062394636588,0.11975770595689461,0.4591996376158783,0.13911868524992654,0.1727692308345889,0.09372172916904681,0.015488949607319355,0.5835938658020917,HYPO_dorsal,hypothalamus,#004d43
HYPO_dorsal2,0.14163005479388815,0.043303652032499314,0.02468747255376858,0.03975656863018114,0.46602872572014603,0.07955231828201775,0.09857415546563285,0.5697498618227095,0.3530601834104993,0.07434955158008405,0.221714704108032,0.03276630173507615,0.0022528033747340878,0.004544210227905878,0.0006763879157075668,0.004651583277938438,0.0006882214794371599,0.0008298366892903286,0.0009334650527388755,0.001561127708675514,0.0031713071938071903,0.0023691686891555586,0.0028754208577257655,0.014696664858618766,0.019010029315779872,0.005315542120130958,0.004060231599040576,0.01255412082208809,0.0029526380318691645,0.059888409030258584,0.03215433961874835,0.05093367015473599,0.2248831303807006,0.20454803843767935,0.025685997732169133,1.0,0.11381470979133032,0.16287103051381802,0.7172268251851056,0.005357670755156845,0.08948423552557602,0.04288227963312916,0.01776012333769006,0.006757568221747429,0.032459989654504535,0.09084312408474163,0.06715701903731182,0.05471002335760933,0.00217879158854757,0.046857420972172555,0.4058601340101389,0.020898130616801198,0.040882636820822445,0.42607618247912965,0.1451962622326442,0.3429566405362162,0.19128133329535982,0.010712877805546993,0.2025779491341818,HYPO_dorsal2,hypothalamus,#8fb0ff
HYPO_ventral,0.5595090414792327,0.27401137040049856,0.029013783378747167,0.049324032381267535,0.7783107341651493,0.18711591430681795,0.09105810514337173,0.04635322863437053,0.1568874034532372,0.09093147077207075,0.37922881166432665,0.23273856247972824,0.0649371068763757,0.008572801026017254,0.0017585743665366983,0.006771208036870161,0.0011357532720578,0.0026156120788734193,0.004113434837038911,0.004837774546608836,0.0032912308269995773,0.004523781491363336,0.004828498294654692,0.008738603241314586,0.09688610068975072,0.01509110875549752,0.006333745445172392,0.015973688192814667,0.011262649631421894,0.005130551817124737,0.005421218208936405,0.37968098246998666,0.8814725313223166,0.16396337607645814,1.0,0.021481131405346892,0.43388941791088315,0.700037458770661,0.036938272166508225,0.00176197868099579,0.1433419980498195,1.0,0.033424547871034806,0.09168084836876461,0.003363585252829245,0.015787257505167657,0.21738353338565494,0.16515300446158918,0.0019436558462811756,0.051641136213768625,0.35610356038875896,0.09003949854965905,0.2020199725696994,0.7743536662093728,0.09830640295627387,0.06113729459506712,0.03920357320323977,0.098971072878278,0.564427110737457,HYPO_ventral,hypothalamus,#997d87
PIA_dorsal,0.2370249726273225,0.24777699667994202,0.10394711450295356,0.2696108523104525,0.07024272134670355,0.15127614639824513,0.10805198007997488,0.04279185073938107,0.07788686685603932,0.36131184753041273,0.8087869123496436,0.03375711540548697,0.010145300083197167,0.01716626454500688,0.001527020243779385,0.010644894630742733,0.0016908341303007704,0.006018842875112105,0.0050426114841868735,0.06452520952732163,0.03782738072355318,0.013217297785072954,0.015977379067660332,0.017466637165247215,0.056868656801435595,0.034983028928198094,0.00948650111370163,0.030818676298862802,0.018355167416801363,0.0074671646197166,0.0022061858893609346,0.05095169492024355,0.06431849576339978,0.055184486750733876,0.018104066374849476,0.0051651633080303,0.01993769970536365,0.012660571516019282,0.039775027574425054,0.0016664358916465619,0.2531649433756046,0.02194679784514996,0.006850306808521467,0.00443828861329199,0.0033773414798922534,0.03856015398836391,0.04271271196443217,0.0718514045078,0.1237443114332724,0.03476926466990033,0.5432285473409262,0.030729721829866573,0.15169188988148333,0.3510807869559,0.06447725694474735,0.02925175703163306,0.02898400660463793,0.02373665004890168,0.3649189345617706,PIA_dorsal,"pia, lateral ventricle",#5a0007
PirCTX_L1,0.6255430161198722,0.8414627138158525,0.09895993484109088,0.11202743492953379,0.04062394890643551,0.373444444702477,0.029495998562265098,0.0315440130547702,0.07354469962870099,0.09417943882978831,0.32245879073305245,0.08783750937132877,0.07126198446347094,0.06378103102509325,0.0020043905496035675,0.017003397159575825,0.0030432340551252222,0.0037049539974459283,0.00520907113346807,0.02060558931549918,0.014113994979297424,0.012275283084132185,0.06045742660469047,0.02864110982975712,0.1811637814514198,0.06442518772174982,0.07119174574638627,0.027293538279990745,0.20580003975720904,0.00613807371251664,0.007546242099903421,0.1679141937838054,0.18440482992904195,0.10526558633946922,0.03668565261474402,0.01623422963012516,0.06961666303421311,0.032054330986580046,0.07495622282974589,0.0009005340922005623,0.2970361128928371,0.12235894146146728,0.008479380898515139,0.013573424770799248,0.0044380654063244955,0.0616198903836327,0.5637451540502232,0.1860980403993749,0.005221088784530474,0.06812927342924084,0.5120510461662829,0.07615989614095252,0.11682864854730617,0.4716324219254821,0.0817024658046593,0.032308602260470914,0.01616342555020404,0.17787735143755334,0.29312752225569916,PirCTX_L1,piriform cortex,#809693
PirCTX_L2/3,0.7687754595518308,0.9149365061942359,0.1123127699516568,0.10988252345104972,0.04608874194261694,0.3954001170884169,0.043430055026834266,0.04043310790113913,0.11752160989076643,0.04824623895053267,0.36909731533891266,0.22874481356751203,0.20690807176529397,0.06078766115346033,0.006617574787404678,0.035517287666142774,0.00895761761255178,0.012920816822648565,0.014073486471458204,0.16267143684941662,0.031204877192173346,0.030460095744905963,0.11449999954823191,0.03189812290793135,0.17090936123724915,0.23810902019116892,0.05407550024212327,0.07729577079333745,1.0,0.00673075706598549,0.016261423498038073,0.3377487185267069,0.6873121155948069,0.1587546114115769,0.05728183811097623,0.019604553798584536,0.21679565553911193,0.0582437446933218,0.08903172292938365,0.0019317899476308876,0.5352309299438497,0.2624048712567777,0.0212823562022684,0.025290905940928282,0.005759381309074301,0.24248683498678053,0.9066453651411848,0.7160890641609823,0.0029010786487114856,0.15229929884194318,0.6478012972298568,0.1419897805459798,0.16139638277727725,0.7150003347378445,0.055079940544563,0.02760205174550424,0.005565000629832998,0.43916779222542923,0.47914024420955414,PirCTX_L2/3,piriform cortex,#6a3a4c
STR,0.47807962786682995,0.38499952565492795,0.3050881885797631,0.18443973210247566,0.03912167944205666,0.5919140152128693,0.042639432066338745,0.06332971436691678,0.10282850052163484,0.17981928573462258,0.40154996134511745,0.056193808510042,0.02049608272232682,0.025903831404406774,0.0024527651001977225,0.027175142515881965,0.002142687099991139,0.0025697837941877676,0.0029461557932142445,0.02329198847107073,0.0417669983882754,0.025469532535815204,0.020598831172265273,0.02946985739073383,0.035574860040530204,0.021871791933149903,0.015706801049442613,0.03342486571816896,0.013061009485231092,0.013559962937635285,0.0036525539808067936,0.14471053862856292,0.15516830386067543,0.08082016630808965,0.0432308236953129,0.016215971138529867,0.03827066610897793,0.02017174440223971,0.04783038018216002,0.0015539665547091431,0.16011586227681104,0.28161688080346864,1.0,1.0,0.008703740839576802,0.11436181056344161,0.10669384425579038,0.06824824245538974,0.004317524451402843,0.05964530511265538,0.6808516740306159,0.04392335215128367,0.13587939387907338,0.40217998079190914,0.19314562826838488,0.163716387888139,0.1640989920863476,0.04446827093602367,0.19399688076051935,STR,striatum,#1b4400
THAL_latHabenula,0.09398503278291814,0.032464206213367625,0.0102990751129052,0.021369885948470935,0.4003868878383866,0.04888575977171311,0.09590291235558554,0.09895048417756215,0.1465321709741324,0.11492026647415826,0.1255422415064089,0.046025909627371756,0.003415564179962793,0.0030604835355034325,0.00027769032412637286,0.0026334175455742063,0.00030115617020966143,0.0010054685254870883,0.0007437512178183921,0.000933508634101038,0.0015372859978473687,0.0010573285371994713,0.0012977395892485811,0.0031664612698788616,0.016502226591078216,0.002776831318488718,0.001642121252630356,0.008130307346191563,0.0016430670843354592,0.014546080174731139,0.023535737633558283,0.03898964205837719,0.2410821420566933,0.11202500088488454,0.0686628779005301,0.12614530903069812,0.08467104216659291,0.16534832777991318,0.0713997370842552,0.027714956718196692,0.021049361061696907,0.034487941343396646,0.005212166119846499,0.002818087377304353,0.0036958576332080315,0.005987527856458825,0.028346560551562948,0.030956724028860877,0.007125961649528056,0.018993511490824053,0.11091690418490922,0.017974258982092442,0.06672494931701697,0.21903994966087864,0.05957219699865703,0.06538329396823958,0.04467390743292143,0.01564827810206514,0.4263625846728724,THAL_latHabenula,thalamus,#4fc601
THAL_lateral,0.11161897617508898,0.03915870216777794,0.022401196127887765,0.04056437141152023,0.10300596049397678,0.058273917627822046,0.05934475647669958,1.0,0.8080577509730361,0.019017554137146602,0.19154664498716284,0.023509373372712826,0.001662492511767584,0.0060943620555397,0.0009276436327435906,0.009377731488009954,0.003953917494007897,0.0010406748998891117,0.0009810722011674182,0.0026242517160938467,0.004862900163011514,0.005724763358308988,0.00556663661551875,0.023161190757197518,0.019662458269182524,0.009891371102214726,0.004989428949394226,0.03320610592471275,0.0014488309219812332,1.0,0.22039361578565705,0.03804985942423766,0.07026991922655451,0.2219633128168956,0.0028401591883951685,0.02398646824733074,0.02151989091444289,0.004309298030882876,0.1527702432918359,0.0006699552737334349,0.025879198757248163,0.016211669702623385,0.004859303895389943,0.0035250760570130126,0.022924936534106474,0.01941236073493802,0.017518259670810655,0.03391920352605833,0.0016331857276015121,0.0365842770803777,0.25005160158241824,0.007879352319382846,0.00857863410621283,0.23573989636832463,0.11496496249215203,0.30310725622309187,0.10567083237469499,0.005344855739756966,0.08408958680616448,THAL_lateral,thalamus,#3b5dff
